cell_ids,centroidX,centroidY,perimeters,areas,major_axes,minor_axes,orientations,eccentricities,Signal_01,Signal_02,Signal_03,Signal_04,Signal_05,Signal_06,Signal_07,Signal_08,Signal_09,Signal_10,Signal_11,Signal_12,Signal_13,Signal_14,Signal_15,Signal_16,Signal_17,Signal_18,Signal_19,Signal_20,Signal_21,Signal_22,Signal_23,Signal_24,Signal_25,Signal_26,Signal_27,Signal_28,Signal_29,Signal_30,Signal_31,Signal_32,Signal_33,Signal_34,Signal_35,Signal_36,Signal_37,Signal_38,Signal_39,Signal_40,Signal_41,Signal_42,Signal_43,Signal_44,Signal_45,Signal_46,Signal_47,Signal_48,Signal_49
479,706.938109563464,345.946332224223,29.3145847574588,62.3017525067553,9.93277201733394,7.76958000671589,8.22775898437149,0.623006466010385,945.326714489972,0.419492811814478,0.202755577209339,9.62255496415701,2.99781985711767,5.78059846051395,3.39925256091351,0.254998775853964,1.19461523865951,3.97021617194845,13.3209159060639,0.839786704794735,0.273378802197587,5.76727831939439,10.778763428882,1.95337694149561,1.28119124099029,0.858197763240364,0.411225198801316,0.867662334005797,0.535030787272799,0.850205056702444,0.16457512339392,0.430925699232215,0.593222539956126,0.697525107235193,0.0204604992557192,1.68993853562755,1.41796466135224,0.485732284158571,2.96194177716625,0.463718710827327,0.909772125215449,0.649624211649953,0.386963554724224,1.08287263005327,0.240199548045283,4.48523578276794,6.62912058572939,1.24703040533924,1.81690573830696,0.148398547673143,1.04199926306409,11.5297906955108,23.1226061824271,17.9747407258696,30.7434926845033,19.7516207203855,0.156759954755562
480,722.023813661136,664.791890727684,42.3768147092157,124.122806973755,14.4126281379708,10.8801314912865,-48.9208030000573,0.655836836317672,944.981332456727,0.140117374401914,0.193019983112862,14.1507003324655,3.28980720517872,5.26571699971855,2.82009318709541,0.235340117506333,1.20483988003096,1.42602752075711,9.06049931396004,0.812488566000562,0.491375422178441,7.80307548198706,9.26610799852238,7.71041773677174,1.97890752533071,1.7519648008725,0.670904165493949,1.26886605509429,0.785190420067549,1.05439887946806,0.35953415247678,0.332461212355756,0.760827205882353,0.546295648043906,0.0343568375316634,2.35534042534478,1.21618706902618,0.933165326836476,5.24051263896707,0.633742611877287,1.0576266095553,3.75851445961159,2.13298216296088,3.74144380629046,0.393128825992119,9.50466049817056,8.97486740958345,2.46389200147762,0.595384182381086,0.13761381227132,1.09614770968196,14.8244362598508,29.6509424254152,17.6948185072474,41.4658731177878,40.7433414104278,0.154789218618069
481,1004.88312664314,893.724470864532,37.5538965020245,99.9037780109793,13.4723948688073,9.42497060386632,8.15436682114941,0.714557727618472,947.649224260384,0.1314389857628,0.177450896355799,8.7435865252743,3.27502244971264,5.14029600966562,2.76297613799634,0.0724439981713688,0.718020588427378,0.2752898053814,10.0669011641196,0.478430520180251,0.216083382314525,3.29681785527691,4.92954667907524,3.88967231583072,1.15799903670324,1.07833561912226,0.541423189328631,0.57429752808255,0.745234742358934,0.431171426005747,0.166497681556949,0.232067985893417,0.379122583594566,0.344699214668234,0.0359162748171369,1.35644470023511,0.733678446643156,0.540259681948798,3.21306205916928,0.419217362199582,0.595496383555381,3.05938683712121,0.545846599072623,1.77386812630617,0.293917964668234,4.23782694945141,7.18753265412748,1.59452186193835,0.332213296760711,0.10300213884535,0.893640608672936,13.3263159613375,26.725524711011,13.2579933222309,45.5332937402038,24.4723231778997,0.268073855472832
482,517.460134011033,1063.38145368051,37.2145109969625,81.4135761912912,14.1954961675495,7.2208417955063,26.2251077858938,0.860960792742431,944.576975606361,0.32756514451007,0.196403980683579,13.3773691360864,2.95939917578428,5.28634891193842,3.05605157097211,0.15307574070488,1.56021104642719,0.590161333268784,9.161482347744,0.623247149738575,0.151967194761813,5.8326933457591,7.8942048012684,1.45151938298799,1.26323828427576,0.630996260166538,0.353283186483346,0.891187487896979,0.718116860718436,0.390287416489156,0.180499642960883,0.320243875871418,0.422498729182804,0.34788148721921,0.0709969863477924,2.86949630252711,1.10746505252711,0.705432682997676,3.76250290472502,0.53615175372773,1.20660250048412,0.945828693841983,0.629808136860961,1.67702444205074,0.274576454783114,4.14885780765879,2.90115883399496,1.42029431521108,0.52686546887103,0.113856204008521,1.08193627154338,15.6039742084624,31.2550067474342,18.5271315537858,26.4448467454977,21.1400349777304,0.122840942099148
483,1025.45068202816,359.911924497186,46.4868434729799,153.035592933185,15.6420134079727,12.6404972945739,54.8535428242977,0.589028984615664,941.599852418208,0.120103129445235,0.137059032716927,10.7963282361309,3.27725640113798,5.51807610241821,3.42857752489331,0.10624466571835,1.44358463726885,0.140241820768137,2.68384423897582,0.684944879089616,0.330017780938834,1.35428876244666,6.75554054054054,16.4772119487909,2.79865753911807,2.10009246088193,0.114429231863442,1.00711593172119,0.538321479374111,0.532366642958748,0.300536984352774,0.225794807965861,0.830716571834993,0.748300142247511,0.0420483641536273,2.04171586059744,0.893588193456615,0.583805120910384,3.29731685633001,0.484142958748222,0.863218349928876,0.413307254623044,0.333984708392603,4.80792674253201,0.293138335704125,2.50187055476529,9.79655227596017,1.86168563300142,0.372089260312945,0.162843172119488,1.12568990042674,11.2994736842105,23.0520252489331,19.6459032716927,14.697560455192,28.116829658606,0.182596017069701
484,343.629585083551,1146.02923697268,37.7631026553302,85.9424665141851,14.9382035951477,7.21537620352553,-20.2168925427373,0.875612084827356,940.314666906607,0.202640608763422,0.107832525112574,11.8217372596986,3.01065254806027,5.19095433191895,3.13321097267925,0.0863305604866644,1.32353749025805,13.6231537658036,1.92801783858677,1.07308015998441,0.294869782646346,4.02106966574299,7.50475867033253,6.40408106382058,1.6562371460426,1.59167171804642,0.213268801957049,1.04954050484932,0.882125828065466,1.578051258876,0.268751894267406,0.32806005368895,0.599867130671978,0.925224470687565,0.0282205251991687,2.95337531390717,0.747858801307586,0.751579683711465,3.6501206918947,0.684120085729131,0.980794834603395,0.513663756711119,0.674503972549359,3.64695185313474,0.407760678255975,6.74684942739002,10.4825795051091,1.98714671912885,0.500982312954624,0.186899923146865,0.913005769397298,15.4641225753377,31.3891711497662,16.3811570455923,43.2297435161933,50.139860527797,0.267005785633876
485,1286.666930438,1282.75165664458,29.5549738133938,58.6508324220777,10.9452645560907,6.98337396235799,-41.3675277319586,0.770014017843815,939.434949368715,0.12046405107404,0.172731432815357,12.6093598891682,3.08547600548446,5.37251154021938,2.41482552559415,0.0552927473720293,0.683025679844607,0.443944998286106,10.1557911477377,0.81097710523309,0.383718807129799,7.07530590150823,3.24121742173217,7.07957091236289,1.32569912591408,2.0957810786106,0.0712869058500914,0.918738931101463,0.805983061014625,0.425654307586837,0.271920732404022,0.262518838551188,0.951229019081353,0.866245243944241,0.0560800388482632,2.25764666647623,1.08761681615631,0.829266496229433,3.23269699782907,0.678141524794333,0.778923003313529,0.918764768053016,5.23440480747258,2.69509686357404,0.390567113231262,5.51808882255485,11.483722149223,2.4354896309415,0.401333023880256,0.203027179501828,0.73250676988117,20.5511917418876,42.9105118972806,13.906940485032,20.918828282107,31.0046492658821,0.108890010854662
486,101.412871377634,1049.01891745815,32.6742488527549,75.9525806815363,10.2913533203387,8.66606798172424,-66.111740220022,0.539363994039154,941.775421506588,0.100047243411928,0.192992480062413,11.2868907116852,2.9507114684466,5.65887536841193,3.24437337465326,0.205516643550624,1.37800830010402,0.538667974167823,13.2606268420596,0.799224276178918,0.368464047330097,5.40574050797503,12.2075849514563,10.233879485957,1.71401915742025,1.31102407680305,0.154718056518724,1.23783330443828,0.635247702843273,0.773046008148405,0.423523318307906,0.283011550797504,0.754673305305132,0.708735805305132,0.0176713115464633,3.32746207524272,1.1383069304785,1.00898264129681,3.94604683165742,0.595844421809986,1.24386529126214,0.673049475554785,0.548491678224688,3.88871305045076,0.487370405686546,12.6063458954577,9.15608280599862,2.30793190880721,0.621627188800277,0.1765886139043,1.49213993151872,23.5504351595007,44.8327409847434,17.3819170423024,27.0618224471221,40.743628965846,0.193149163488211
487,673.952669088392,706.64966383604,31.7142380909567,74.186827654019,10.1674682412625,8.93398210865692,-6.22717464907927,0.477405571530398,938.968997337542,0.108961641368215,0.0723001626329043,10.7931180487549,2.98259357949776,5.4732865618005,2.74193841371712,0.13164029711108,0.647076979574706,0.341347557883324,7.62591655882764,0.53431871240207,0.203595739192781,4.2572659091704,6.43296070579183,5.79467639549524,1.41872956159065,1.51121697065613,0.136019800118914,0.917420738318411,0.491059999300504,2.46642843715025,0.319168276965585,0.298968570754057,0.435890174699217,0.464164473454113,0.0469571908226077,2.21775288979435,0.757781022663682,0.741160989087857,2.48625500577085,0.522419514199776,1.18555791392697,0.507711182323727,0.541224271649412,3.40520042756715,0.26147305190263,5.02314939493564,1.35283317886122,1.16058010107722,0.470555465689703,0.0815182131365417,0.678288725867376,9.46678528959149,19.0012134075965,10.9378542293299,21.1099273835339,39.3113574164102,0.233194162702854
488,1321.4343177276,1006.9221705075,34.6200453775117,86.8057347908616,11.7749087476517,9.07089462942268,-26.0812822665502,0.637611653240274,949.062710539496,0.151739455137378,0.145992013093875,10.9786339081282,3.30576716335146,5.6943922617344,2.98049960646823,0.131600869347453,1.02398388308529,0.397319735618202,5.57303296722954,0.648229822552948,0.303431239267316,4.44535909773898,6.09258080817115,21.1984501556239,2.13089573196909,2.34782797295363,0.127880607827705,1.03031035346308,0.999608435890097,0.796121118345736,0.458498497424156,0.392873855180309,0.661543583643389,0.807905695477962,0.0580577865626788,3.17872106647109,1.16794299155696,0.685211255008586,4.30535623568975,0.742584564610761,1.02323192437035,0.625623300658271,1.9588997209502,8.02558247173726,0.343263630509445,5.48436095807098,7.02190370993131,3.2593715118775,0.4591124069834,0.21844836684316,1.31340530194619,8.90130281375215,15.8497058797224,14.5358608507441,27.5183570048655,49.1232244114911,0.195689127790498
489,824.088018076416,332.768220985265,38.1137311829296,95.7420972520486,12.522330259109,10.0814277924032,-7.88410223715724,0.59317164782706,929.53422646605,0.0922145061728395,0.330581444931774,26.3063392422027,3.40428829597141,5.42509208495776,2.72337272579597,0.437271665854451,1.66782448018194,4.21993319525666,14.3329465155945,1.22920656676413,0.384853496588694,9.30430240821962,25.0514930555556,9.31654280376868,2.29071454678363,3.29379497644575,0.221698952241715,1.74464221897336,1.04057190139701,2.76368512426901,0.400880746426251,0.535726831546459,0.859294793697206,0.959660595354126,0.126228374756335,2.91152432586095,1.58686951754386,0.817535737491878,4.444292458577,0.868272721734893,1.49965958008447,0.668012305068226,1.31735694850552,2.95647762345679,0.473921682098766,8.39014498050682,9.11621060753736,2.23169935834958,0.527528021442495,0.236476811241066,1.15907640919428,17.0119535818713,30.7530074317739,27.5702014294997,44.7946643518518,74.3458868380442,0.195836277615335
490,635.274212732731,313.319301605334,35.350789108962,87.8595072515309,12.3920717861723,8.83749605073068,-73.9268383929941,0.701004074276752,947.638797308911,0.0799565878606093,0.182836828491507,12.8089433009234,3.46890776658129,5.41634463888514,2.84301487934753,0.353496351779455,1.14829247691426,0.436024071515233,4.92579736367619,0.831975010110542,0.319675957131302,5.26375528697088,16.9834380897816,20.6185659038825,2.08702333007549,2.5679390502831,0.234874102689404,1.19424646973578,0.741317466803721,1.62613669873955,0.496779265806147,0.347222760514963,0.622534291588029,0.587459347196009,0.0677738061135077,2.3983853675182,1.02547824969668,0.863522955142896,3.67195735878943,0.711653558068213,0.895613920531141,0.602871183270423,0.454227786296845,5.72866254381235,0.319383067369911,5.13379374915746,1.70686253033163,2.38740710939606,0.446941455749528,0.196661836074414,1.04494820453626,11.1043343682596,21.5233796803384,16.0316919149366,29.3902933531612,53.5705438839647,0.150405896131033
491,1216.70411927018,1343.7490291134,37.9231633447707,96.2632465362549,14.209446257857,8.58243895651972,-16.808462056437,0.796987867207322,930.067035134285,0.259027495190885,0.210862357576206,11.0262877099364,3.31589181340633,5.17860487107872,3.03084423091151,0.12884555804232,1.10846866676532,6.54868766646937,3.37914323764427,0.613948861534478,0.191396423683042,2.7020238744821,5.5664698320509,1.43500411549275,0.860544909736608,0.908362658145901,0.142236515981059,0.751462387170761,0.700815237496301,0.463705631288843,0.131471496744599,0.274241523934596,0.473035430230838,0.577835990677715,0.0734309105874519,1.99878847292098,0.798030459270494,0.51760471385765,2.42606390111719,0.463195240825688,0.804632010210121,0.28018239956348,0.477228377478544,1.2942837424164,0.274218403188813,3.48135080645161,6.47806939460639,1.54365659218704,0.533341271456052,0.0995775839745487,0.860863398009766,18.9105776255919,36.5969707198875,11.3611136800829,28.3397940403966,18.7577442937999,0.218747687925422
492,494.955180657156,1049.68901659552,33.5643308348539,77.0584239847958,10.4547764902375,9.38486992082605,27.8399746457307,0.4406818240391,931.945037604331,0.217564775565195,0.121959614879075,15.4201858857453,3.08150168819006,5.70399281595032,2.78105283911672,0.111939837177971,0.843064249802839,0.42407262503286,0.575533669328339,0.5883318751643,0.891156615569137,0.841660094637224,0.854696331164564,23.6504136271031,2.45013975831362,6.46540637733307,0.250744179646425,0.912730637158254,0.444306466055468,0.863537456460305,0.511674902241062,0.293938740470557,1.01935421595689,1.06834356105415,0.0458333333333333,2.1524408928102,1.10904968454259,0.740293934016825,3.92310694745662,0.629946273659306,0.930399538314931,0.603093782860148,0.37324208481204,9.82448964083859,0.446938563847266,0.937986022114879,21.6947210173502,4.37453543966877,0.716574555566509,0.278184045577024,1.18447049980284,13.7260863359293,26.1308796045281,10.3422924470952,11.2881852367574,14.3136756744545,0.208646736987382
493,877.928684712778,1073.15985239312,41.4810051257275,120.980440802872,14.4637751673469,10.5139508994879,-79.0430013013537,0.686726289925462,933.409986272963,0.16533488698138,0.183443494595101,13.3880246247032,3.20592312859285,5.0840377796176,3.31076644901275,0.336056806110972,0.925649495829167,0.561554679689453,4.35200989791615,0.73545734660085,0.323461273353537,7.40708826699575,6.39221415349288,6.89872868696888,1.48816609324231,1.70667953128905,0.814570722553737,1.21365825535804,0.847863229505123,0.51178528610035,0.23005322888028,0.328274767245689,0.753502884044614,0.689121323184829,0.119821558282304,2.07312937390652,1.10035503819358,0.753275353036741,4.16679658210447,0.570381281632717,0.876058280351787,2.11915951676143,4.13063745782304,2.71843801744876,0.542753374156461,6.42155525571732,11.3318565866346,2.86595465391465,0.564365744501375,0.239629741002249,0.673944648603474,21.1444661783773,42.5166290458635,14.3501789591665,30.2445066955917,27.315048972132,0.180162625359285
494,50.2605267807302,110.04467217342,42.3130969468597,120.33363792696,14.6918404306374,10.6571252989556,-89.3549254599441,0.688351650171696,951.579054712117,0.0575880836436551,0.183524778000573,14.4930951016901,3.07334144944142,5.5406473789745,3.1165625895159,0.366016900601546,2.18794328272701,0.325369521627041,1.94574763678029,0.644766542537955,0.445101690060154,3.60027356058436,3.79044256659983,7.22229017473503,2.09867659696362,2.17081638498997,0.23082927527929,1.11050415353767,0.765382411916356,0.596319106273274,0.438867086794614,0.327890289315382,0.686380693211114,0.755358063592093,0.0482325981094242,2.24298052134059,1.31893153824119,0.953669435691779,4.20141077055285,0.618125179031796,1.15863649384131,0.516089945574334,0.691635634488684,5.82970352334574,0.535462618160985,2.80820538527642,10.5445545688914,2.8229303924377,0.544916929246634,0.277688341449441,1.28204955600115,21.0623632197078,41.6231208822687,11.6199169292466,19.0772801489545,25.5447737038098,0.211140074477227
495,600.047490604121,892.564275066768,43.8505513015649,144.524697529152,14.5766138154588,12.2187391728387,26.1499475349913,0.545297428021888,941.098343541884,0.109755831320188,0.180314295507966,11.791484905491,3.36053891763515,5.33864228992557,2.88779381039436,0.143755100874902,2.91020440225907,0.294583993046487,10.520910016486,0.757763225548446,0.253436867491512,4.47589550959781,4.40892153222121,9.49939881088405,1.79254221484069,2.14999010430269,0.142727274582136,0.889757851266649,0.650255043745103,0.264837118862627,0.400051416819013,0.305523227343954,0.564068008944894,0.665631325084879,0.102623583997127,2.16608234444372,0.954843892824497,0.731922703382084,3.13935222969444,0.508378493079133,0.97895991120397,0.687828802396187,1.86789009450901,3.79737957854531,0.303670283527031,4.24641469704884,6.34857971239227,1.90651851005484,0.53492293598198,0.180793675731261,1.21365187957038,24.0389792537216,46.1209875497845,13.2473745796879,20.4034317666166,29.064633389919,0.138183007149386
496,1145.24808444371,939.374303887001,37.1307734051393,91.3111595474184,14.1068726678005,8.30211011871996,-48.5761058563506,0.808486094591427,943.472800140381,0.098923085530599,0.15095942179362,11.3407762654622,3.18205627441406,5.51875183105469,3.09340738932292,0.117901102701823,1.86180781046549,0.6422509765625,22.5097085062663,1.04236145019531,0.275484771728516,6.6344255065918,11.7117820739746,9.63186645507812,1.87159052530925,1.69289972941081,0.179210357666016,1.34446080525716,0.692981160481771,0.653014678955078,0.271368967692057,0.341289469401042,0.903111317952474,0.906312052408854,0.0553297424316406,2.31795771280924,1.18437006632487,0.72174809773763,4.10239929199219,0.664352264404297,0.853116556803386,0.642486216227213,0.841813303629557,4.65893656412761,0.327496643066406,10.6422388712565,10.0893116760254,2.82614501953125,0.613250579833984,0.264053090413412,1.37674860636393,21.6002746073405,43.5556555175781,17.730275777181,21.8337874857585,28.5822460428874,0.234574025472005
