ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_6_ALS_M_FrontalCrtx_240424_2_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4
442501,511,0.900763359,0.267175573,0.541984733,0.053435115,0.015267176,0.022900763,0.893129771,1.259541985,0.053435115,0.541984733,0.038167939,0.06870229,2.526717557,0.297709924,0.053435115,0.297709924,0.007633588,0.030534351,0.259541985,0.015267176,0.34351145,0.190839695,7.030534351,0.244274809,0.358778626,0.366412214,0.038167939,7.419847328,0.06870229,0.213740458,42018,131,0.675369124,0.903448276,0.623809524,1,42.517,15.57856518,11.4888781,-64.56677961,13.84732824,595.1755725,0.365384615,1,520,0,0,0
442501,512,1.007518797,0.112781955,0.233082707,0.007518797,0.037593985,0.097744361,3.037593985,1.443609023,0.022556391,0.308270677,0.045112782,0.015037594,4.518796992,0.353383459,0.270676692,0.187969925,0.030075188,0.022556391,0.165413534,0.022556391,0.315789474,0.157894737,2.518796992,0.127819549,0.676691729,0.360902256,0.07518797,7.15037594,0.052631579,0.060150376,42100,133,0.570867074,0.93006993,0.678571429,1,41.028,14.77653442,12.13216273,43.49823811,131.8195489,596.3609023,0.326923077,1,513,0,0,0
442501,513,1.410071942,0.100719424,0.467625899,0.079136691,0.028776978,0.021582734,1.381294964,1.410071942,0.021582734,0.841726619,0.050359712,0.043165468,8.776978417,0.366906475,0.107913669,0.366906475,0.050359712,0.057553957,0.194244604,0.007194245,0.273381295,0.230215827,3.690647482,0.208633094,0.438848921,0.381294964,0.057553957,6.517985612,0.100719424,0.086330935,42183,139,0.466334671,0.952054795,0.763736264,1,39.432,14.2502009,12.60584704,66.10229773,143.028777,597.2733813,0.36,1,512,0,0,0
442501,514,0.645320197,0.113300493,0.403940887,0.073891626,0.014778325,0.054187192,1.275862069,1.374384236,0.024630542,0.704433498,0.034482759,0.019704433,3.221674877,0.305418719,0.413793103,0.206896552,0.049261084,0.019704433,0.266009852,0.009852217,0.290640394,0.231527094,4.522167488,0.172413793,0.330049261,0.408866995,0.073891626,7.083743842,0.068965517,0.073891626,42265,203,0.500574353,0.95754717,0.746323529,1,48.521,17.36755917,15.0349839,31.92255376,205.1231527,595.3349754,0.080645161,1,515,0,0,0
442501,515,0.494736842,0.105263158,0.421052632,0.094736842,0.010526316,0.010526316,0.810526316,1.136842105,0.042105263,0.536842105,0.031578947,0.021052632,2.621052632,0.221052632,0.094736842,0.294736842,0.063157895,0.031578947,0.136842105,0,0.252631579,0.105263158,2.042105263,0.136842105,0.263157895,0.368421053,0.084210526,7.747368421,0.073684211,0.073684211,42347,95,0.667290473,0.95959596,0.730769231,1,32.692,12.82611329,9.552858046,23.01774746,188.6210526,596.2631579,0.414634146,2,514,521,0,0
442501,516,1.030075188,0.135338346,0.443609023,0.060150376,0,0.030075188,0.586466165,1.203007519,0.037593985,0.714285714,0.045112782,0.007518797,2.864661654,0.233082707,0.052631579,0.210526316,0.030075188,0.052631579,0.240601504,0,0.270676692,0.097744361,3.646616541,0.172932331,0.315789474,0.345864662,0.082706767,5.954887218,0.067669173,0.165413534,42429,133,0.714827651,0.963768116,0.755681818,1,38.878,15.6238403,10.92576202,9.68221989,284.5639098,597.1052632,0,0,0,0,0,0
442501,517,2.239130435,0.163043478,0.47826087,0.130434783,0.043478261,0.02173913,2.163043478,1.608695652,0.086956522,0.532608696,0.010869565,0.02173913,4.706521739,1.402173913,0.326086957,0.25,0.065217391,0.141304348,0.597826087,0.02173913,0.489130435,0.434782609,1.652173913,0.184782609,0.52173913,0.434782609,0.076086957,8.304347826,0.065217391,0.119565217,42511,92,0.647976169,0.948453608,0.707692308,1,32.328,12.52382281,9.538902516,9.979750216,596.4565217,597.4673913,0,0,0,0,0,0
442501,518,0.960526316,0.098684211,0.427631579,0.098684211,0.013157895,0.039473684,0.796052632,1.539473684,0.052631579,0.868421053,0.019736842,0.131578947,2.611842105,0.197368421,0.019736842,0.243421053,0.085526316,0.039473684,0.210526316,0.019736842,0.355263158,0.243421053,7.486842105,0.217105263,0.282894737,0.414473684,0.039473684,6.927631579,0.098684211,0.105263158,42594,152,0.403108713,0.955974843,0.723809524,1,41.88,14.62657106,13.38553721,19.48284496,646.0065789,596.8421053,0.132075472,1,503,0,0,0
442501,519,1.015625,0.140625,0.390625,0.046875,0.015625,0.03125,1.078125,1.328125,0.046875,0.6796875,0.0234375,0.0234375,3.140625,0.2421875,0.2109375,0.3203125,0.03125,0.046875,0.3359375,0.015625,0.3125,0.2734375,7.5234375,0.15625,0.453125,0.359375,0.0859375,6.890625,0.0390625,0.09375,42676,128,0.676376485,0.955223881,0.775757576,1,38.671,15.01074288,11.05625385,0.8235438,113.6328125,597.7265625,0.458333333,1,528,0,0,0
442501,520,0.561403509,0.245614035,0.51754386,0.061403509,0.026315789,0.01754386,0.48245614,1.438596491,0.035087719,0.464912281,0.061403509,0.070175439,2.236842105,0.350877193,0.052631579,0.324561404,0.00877193,0.052631579,0.201754386,0,0.315789474,0.192982456,6.096491228,0.140350877,0.350877193,0.368421053,0.070175439,7.271929825,0.061403509,0.087719298,42758,114,0.478782689,0.957983193,0.730769231,1,36.331,13.05700294,11.4631796,-69.33402466,23.59649123,598.3684211,0.6,2,511,527,0,0
442501,521,1.832369942,0.132947977,0.346820809,0.057803468,0.057803468,0.023121387,1.208092486,1.682080925,0.034682081,0.971098266,0.046242775,0.040462428,5.005780347,0.317919075,1.653179191,0.398843931,0.052023121,0.080924855,0.838150289,0.011560694,0.317919075,0.208092486,3.25433526,0.208092486,0.710982659,0.393063584,0.086705202,7.878612717,0.046242775,0.104046243,42840,173,0.720932727,0.935135135,0.739316239,1,47.603,18.00131297,12.47500084,-3.064836502,174.8323699,600.3526012,0.360655738,2,515,532,0,0
442501,522,1.101449275,0.202898551,0.507246377,0.123188406,0.014492754,0.050724638,1.086956522,1.992753623,0.072463768,0.862318841,0.028985507,0.036231884,3.876811594,0.289855072,0.065217391,0.326086957,0.036231884,0.050724638,0.253623188,0.007246377,0.398550725,0.188405797,8.195652174,0.195652174,0.427536232,0.347826087,0.086956522,7.52173913,0.130434783,0.101449275,42923,138,0.304885308,0.965034965,0.758241758,1,38.787,13.64420479,12.99459157,25.50218646,331.5,602.7681159,0.14,1,536,0,0,0
442501,523,1.886524823,0.163120567,0.34751773,0.070921986,0.028368794,0.063829787,1.468085106,1.936170213,0.04964539,0.70212766,0.007092199,0.04964539,10.39007092,0.326241135,0.290780142,0.312056738,0.070921986,0.063829787,0.24822695,0.007092199,0.326241135,0.262411348,4.234042553,0.241134752,0.808510638,0.34751773,0.106382979,7.879432624,0.085106383,0.085106383,43005,141,0.665368861,0.959183673,0.734375,1,40.284,15.59397445,11.64113201,74.30781577,412.0283688,601.7588652,0.254901961,1,524,0,0,0
442501,524,0.427083333,0.208333333,0.552083333,0.041666667,0.03125,0.03125,0.71875,1.40625,0,0.802083333,0.020833333,0,2.447916667,0.385416667,0.041666667,0.28125,0.010416667,0.010416667,0.166666667,0.010416667,0.21875,0.239583333,4.479166667,0.09375,0.333333333,0.3125,0.052083333,8.40625,0.0625,0.125,43087,96,0.197749873,0.96969697,0.79338843,1,31.749,11.22450227,11.00284655,-36.64457637,401.28125,604.03125,0.325,1,523,0,0,0
442501,525,0.320987654,0.086419753,0.543209877,0.074074074,0.012345679,0.111111111,0.518518519,1.098765432,0.049382716,0.382716049,0.024691358,0.024691358,1.358024691,0.308641975,0.012345679,0.172839506,0.086419753,0.061728395,0.185185185,0.012345679,0.234567901,0.172839506,4.308641975,0.111111111,0.234567901,0.197530864,0.037037037,5.802469136,0.012345679,0.061728395,43169,81,0.6333265,0.870967742,0.613636364,1,33.792,12.08613203,9.353272776,50.74756856,817.7037037,602.7777778,0.717948718,3,510,526,535,0
442501,526,0.397590361,0.192771084,0.554216867,0.096385542,0.024096386,0.096385542,0.843373494,1.65060241,0.024096386,0.686746988,0.048192771,0.048192771,2.108433735,0.204819277,0.036144578,0.373493976,0.024096386,0.036144578,0.204819277,0,0.409638554,0.240963855,11.79518072,0.240963855,0.373493976,0.614457831,0.120481928,10.30120482,0.036144578,0.21686747,43251,83,0.659580273,0.821782178,0.49112426,1,38.101,12.93144811,9.719717731,-42.76613553,809.6626506,604.3614458,0.860465116,4,510,525,530,535
442501,527,0.818791946,0.187919463,0.476510067,0.093959732,0.006711409,0.053691275,1.006711409,1.302013423,0.033557047,0.644295302,0.046979866,0.026845638,2.234899329,0.201342282,0.067114094,0.241610738,0.033557047,0.046979866,0.154362416,0.006711409,0.308724832,0.147651007,5.127516779,0.181208054,0.22147651,0.483221477,0.033557047,6.402684564,0.060402685,0.10738255,43334,149,0.428880064,0.973856209,0.818681319,1,40.259,14.53517115,13.13051314,25.64470617,33.73154362,608.0201342,0.2,2,520,541,0,0
442501,528,1.105504587,0.114678899,0.403669725,0.041284404,0.041284404,0.032110092,1.986238532,1.591743119,0.041284404,0.743119266,0.055045872,0.064220183,4.114678899,0.577981651,0.082568807,0.30733945,0.077981651,0.032110092,0.211009174,0.004587156,0.509174312,0.275229358,5.568807339,0.243119266,0.504587156,0.596330275,0.068807339,8.678899083,0.077981651,0.114678899,43416,218,0.821069559,0.923728814,0.592391304,1,57.925,22.911411,13.07847839,21.8883454,114.0183486,608.4862385,0.328947368,1,519,0,0,0
442501,529,1.913043478,0.086956522,0.398550725,0.028985507,0.065217391,0.057971014,2.072463768,1.971014493,0.036231884,0.579710145,0.036231884,0.028985507,4.02173913,0.637681159,0.079710145,0.275362319,0.036231884,0.02173913,0.246376812,0.028985507,0.528985507,0.304347826,1.797101449,0.210144928,0.384057971,0.507246377,0.043478261,7.949275362,0.057971014,0.050724638,43498,138,0.60902292,0.958333333,0.766666667,1,39.432,14.98352609,11.88422302,-1.14143497,72.76811594,609.9782609,0,0,0,0,0,0
442501,530,0.672131148,0.262295082,0.754098361,0.163934426,0,0.06557377,1.147540984,1.754098361,0.081967213,0.983606557,0.081967213,0.098360656,3.081967213,0.278688525,0.032786885,0.327868852,0.06557377,0.147540984,0.229508197,0,0.524590164,0.213114754,6.032786885,0.147540984,0.508196721,0.68852459,0.049180328,9.655737705,0.06557377,0.278688525,43580,61,0.832720078,0.924242424,0.635416667,1,28.375,12.06430355,6.679934947,-79.82283172,803.557377,609.7377049,0.735294118,3,526,535,542,0
442501,531,0.5,0.098214286,0.267857143,0.026785714,0.008928571,0.044642857,0.553571429,1,0.044642857,0.339285714,0.017857143,0.017857143,1.830357143,0.169642857,0.026785714,0.214285714,0.044642857,0.044642857,0.1875,0.017857143,0.258928571,0.196428571,11.4375,0.223214286,0.348214286,0.25,0.044642857,6.133928571,0.080357143,0.089285714,43663,112,0.578708371,0.941176471,0.717948718,1,36.182,13.34376255,10.88229954,-21.34104838,606.8303571,610.9732143,0,0,0,0,0,0
442501,532,0.948717949,0.102564103,0.416666667,0.076923077,0.006410256,0.064102564,0.935897436,1.435897436,0.025641026,0.596153846,0.057692308,0.038461538,2.980769231,0.211538462,0.435897436,0.224358974,0.025641026,0.038461538,0.576923077,0.006410256,0.365384615,0.134615385,4.358974359,0.16025641,0.403846154,0.358974359,0.057692308,6.307692308,0.044871795,0.166666667,43745,156,0.532623375,0.912280702,0.65,1,44.32,15.46730247,13.09078815,-22.09103015,182.6794872,611.8717949,0.607142857,2,521,543,0,0
