ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_190Os_190Os,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_7_Control_M_Cerebellum_240424_1,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11
65535,154,0.411111111,0.066666667,0.177777778,0.1,0.011111111,0.022222222,1.066666667,1.2,0.088888889,0.866666667,0.033333333,0.022222222,3.777777778,0.577777778,0.033333333,0.422222222,0.022222222,0.066666667,0.577777778,0.033333333,0.388888889,0.333333333,2.388888889,0.133333333,0.444444444,0.477777778,0.144444444,16.84444444,0.066666667,0.166666667,0.033333333,12.75555556,23.5,1483,866,0.655269649,0.918367347,0.692307692,10,33.362,12.43682505,9.394716133,-8.011086746,618.9111111,7.444444444,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,164,0.287671233,0.068493151,0.164383562,0.109589041,0.04109589,0.04109589,0.780821918,0.945205479,0.082191781,0.356164384,0.01369863,0.04109589,3.534246575,0.301369863,0.123287671,0.136986301,0.01369863,0.01369863,0.342465753,0.02739726,0.328767123,0.178082192,2.260273973,0.178082192,0.232876712,0.301369863,0.054794521,10.20547945,0.02739726,0.109589041,0,12.10958904,21.31506849,1579,703,0.790205993,0.973333333,0.760416667,10,29.301,12.61263165,7.729541875,13.25386919,866.8767123,8.095890411,0.5,19,828,1098,0,0,0,0,0,0,0,0,0
65535,173,0.45,0.125,0.55,0.125,0.1,0.1,6.3,2.425,0.1,0.25,0.025,0,2.65,0.6,0.05,0.675,0.1,0.075,1.725,0,0.4,0.425,2.275,0.325,2.225,0.925,0.175,31.375,0.15,0.175,0,10.125,18.825,1666,385,0.471391741,0.888888889,0.714285714,10,22.098,7.93391917,6.99711321,-56.88974457,1266.25,7.4,0.48,29,327,539,645,0,0,0,0,0,0,0,0
65535,183,0.51754386,0.070175439,0.315789474,0.114035088,0.035087719,0.105263158,2.824561404,1.692982456,0.105263158,0.324561404,0.061403509,0,2.157894737,0.50877193,0.105263158,0.307017544,0.061403509,0.140350877,1.078947368,0.01754386,0.394736842,0.271929825,6.280701754,0.315789474,1.377192982,0.859649123,0.131578947,29.60526316,0.140350877,0.175438596,0.052631579,10.77192982,19.92105263,1762,1098,0.711695059,0.95,0.76,10,36.521,14.45123574,10.15182744,3.109672214,1294.307018,6.280701754,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,193,0.783333333,0.1,0.25,0.083333333,0,0.05,3.2,1.583333333,0.083333333,0.533333333,0.083333333,0.083333333,4.833333333,0.35,0.183333333,0.55,0.066666667,0,0.65,0.033333333,0.4,0.266666667,3.033333333,0.266666667,0.866666667,0.9,0.083333333,17.46666667,0.166666667,0.216666667,0,12.23333333,20.88333333,1858,578,0.443201998,0.895522388,0.666666667,10,26.787,9.402383368,8.428501138,26.30109038,190.7333333,8.383333333,0.375,19,58,414,0,0,0,0,0,0,0,0,0
65535,212,0.537037037,0.074074074,0.092592593,0.074074074,0.037037037,0.074074074,1.388888889,1.092592593,0.092592593,0.481481481,0.037037037,0.074074074,4.833333333,0.314814815,0.111111111,0.240740741,0.037037037,0.074074074,0.462962963,0.018518519,0.444444444,0.12962963,2.981481481,0.240740741,0.388888889,0.62962963,0.074074074,11.14814815,0.037037037,0.148148148,0,12.5,23.77777778,2041,520,0.908476938,0.84375,0.461538462,10,30.815,13.5589128,5.666744042,32.41620048,1061.148148,8.592592593,0.864864865,29,202,635,751,0,0,0,0,0,0,0,0
65535,221,0.605263158,0.115789474,0.189473684,0.1,0.026315789,0.057894737,3.642105263,1.094736842,0.063157895,0.478947368,0.057894737,0.052631579,4.6,0.452631579,0.163157895,0.252631579,0.031578947,0.094736842,0.347368421,0.010526316,0.368421053,0.247368421,4.557894737,0.168421053,1.384210526,0.605263158,0.084210526,12.91578947,0.047368421,0.168421053,0.015789474,13.33157895,25.06842105,2128,1829,0.340400469,0.904761905,0.791666667,10,51.49,16.50872878,15.52283665,-36.91949659,232.9368421,10.75789474,0.258064516,10,1329,0,0,0,0,0,0,0,0,0,0
65535,231,0.842592593,0.064814815,0.25,0.092592593,0.046296296,0.037037037,2.324074074,1.287037037,0.055555556,0.398148148,0.083333333,0.027777778,8.157407407,0.62037037,0.074074074,0.333333333,0.12037037,0.055555556,0.583333333,0.018518519,0.435185185,0.277777778,2.268518519,0.240740741,0.972222222,0.509259259,0.101851852,14.43518519,0.12037037,0.166666667,0.009259259,15.46296296,27.92592593,2224,1040,0.872695871,0.857142857,0.529411765,10,42.608,17.65367237,8.619655985,34.43909356,508.5833333,7.972222222,0.603773585,29,375,501,924,0,0,0,0,0,0,0,0
65535,241,0.421568627,0.107843137,0.343137255,0.225490196,0.019607843,0.019607843,2.058823529,1.578431373,0.049019608,0.578431373,0.049019608,0.039215686,4.656862745,0.450980392,0.166666667,0.696078431,0.029411765,0.029411765,0.588235294,0,0.37254902,0.362745098,2.284313725,0.225490196,0.656862745,0.892156863,0.107843137,15.66666667,0.098039216,0.176470588,0.019607843,13.34313725,24.56862745,2320,982,0.825033244,0.944444444,0.607142857,10,36.447,15.31431695,8.65387846,38.13636371,709.9313725,10.09803922,0.913043478,58,39,568,664,799,934,982,0,0,0,0,0
65535,250,0.294117647,0.163398693,0.307189542,0.104575163,0.032679739,0.019607843,1.483660131,0.751633987,0.039215686,0.653594771,0.052287582,0.026143791,1.444444444,0.267973856,0.098039216,0.300653595,0.045751634,0.058823529,0.294117647,0.013071895,0.339869281,0.294117647,7.666666667,0.163398693,0.326797386,0.431372549,0.065359477,10.89542484,0.045751634,0.117647059,0.013071895,14.82352941,26.62091503,2407,1473,0.803630342,0.859550562,0.5625,10,47.876,18.78613355,11.18016888,-36.35307111,753.5098039,9.339869281,0.37704918,10,626,0,0,0,0,0,0,0,0,0,0
65535,260,0.288888889,0.066666667,0.111111111,0.111111111,0.022222222,0,2.244444444,1.111111111,0.066666667,0.622222222,0,0.022222222,1.244444444,0.444444444,0.133333333,0.244444444,0.066666667,0,0.177777778,0,0.288888889,0.111111111,4.066666667,0.111111111,0.733333333,0.422222222,0.044444444,10.93333333,0.022222222,0.177777778,0.022222222,16.53333333,27.97777778,2503,433,0.938135428,0.833333333,0.576923077,10,28.35,13.83089469,4.789204067,12.77502549,1095.555556,8.844444444,0.787878788,19,270,520,0,0,0,0,0,0,0,0,0
