ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,Selection,Sel01
65535,8523,2.131147541,0.147540984,0.360655738,0.06557377,0.06557377,0.032786885,0.967213115,1.573770492,0.049180328,0.836065574,0.032786885,0.06557377,3.081967213,0.262295082,0.081967213,0.229508197,0.032786885,0.114754098,0.393442623,0.016393443,0.426229508,0.180327869,0.868852459,0.229508197,0.540983607,0.62295082,0.098360656,6.672131148,0.06557377,0.049180328,21.78688525,38.57377049,8523,1481,0.691039371,0.983870968,0.693181818,24,25.762,10.50136511,7.590566475,11.78173995,377.9836066,51.86885246,0.352941176,24,6604,0,0,0,0,0,0,0,0,0
65535,8547,1.042553191,0.063829787,0.191489362,0.021276596,0.106382979,0.042553191,0.574468085,1.127659574,0,0.191489362,0.021276596,0.021276596,1.829787234,0.638297872,0.085106383,0.191489362,0.042553191,0.191489362,1.106382979,0.021276596,0.319148936,0.212765957,2.787234043,0.106382979,1.021276596,0.617021277,0.14893617,4.978723404,0.085106383,0.063829787,24.25531915,43.40425532,8547,1141,0.438364078,0.979166667,0.652777778,24,22.578,8.310034913,7.469038552,-44.68726254,723.0851064,52.12765957,24,73,8183,9105,9543,0,0,0,0,0,0,0
65535,8571,2.581818182,0.254545455,0.218181818,0.054545455,0.072727273,0.072727273,0.890909091,1.254545455,0.072727273,0.345454545,0.109090909,0.054545455,5.927272727,0.690909091,0.163636364,0.181818182,0.018181818,0.218181818,1.127272727,0.018181818,0.327272727,0.218181818,0.709090909,0.072727273,1.618181818,0.363636364,0.090909091,5.145454545,0.127272727,0.018181818,19.74545455,36.54545455,8571,1335,0.578140804,0.964912281,0.763888889,24,24.521,9.404529156,7.67350344,10.72557198,738.7636364,52.10909091,0.482758621,49,8183,9543,0,0,0,0,0,0,0,0
65535,8596,3.104477612,0.208955224,0.28358209,0.074626866,0.059701493,0.029850746,0.52238806,1.76119403,0.089552239,0.597014925,0.059701493,0.029850746,4.462686567,0.388059701,0.044776119,0.134328358,0.014925373,0.029850746,0.373134328,0.029850746,0.507462687,0.373134328,0.402985075,0.074626866,0.671641791,0.641791045,0.104477612,6.194029851,0.029850746,0.089552239,20.88059701,38.40298507,8596,1627,0.612757606,0.971014493,0.67,24,27.168,10.47701456,8.279679861,45.43109813,813.8059701,52.20895522,0.264705882,24,8037,0,0,0,0,0,0,0,0,0
65535,8620,5.260869565,0.130434783,0.217391304,0.130434783,0.02173913,0.065217391,1.282608696,2.152173913,0.043478261,1.065217391,0.130434783,0.043478261,6.608695652,0.760869565,0.043478261,0.5,0.152173913,0.043478261,0.391304348,0.043478261,0.5,0.217391304,0.543478261,0.152173913,1.282608696,0.826086957,0.130434783,8.108695652,0.086956522,0.086956522,461,34.7173913,8620,1117,0.519480108,0.958333333,0.71875,24,23.115,8.656427019,7.396765779,-43.81059565,1174.695652,51.7173913,0.928571429,49,8911,9640,0,0,0,0,0,0,0,0
65535,8644,5.27027027,0.324324324,0.486486486,0.054054054,0,0.162162162,2.135135135,2.351351351,0.27027027,0.864864865,0.054054054,0.162162162,13.67567568,0.837837838,0.135135135,0.621621622,0.054054054,0.081081081,0.702702703,0,0.459459459,0.216216216,0.864864865,0.162162162,1.351351351,0.756756757,0.378378378,10.05405405,0.135135135,0.108108108,23.24324324,39.10810811,8644,898,0.887275968,0.755102041,0.4625,24,25.654,11.24373873,5.186050093,-60.31225686,1186.891892,50.75675676,24,97,7454,8280,8911,9664,0,0,0,0,0,0
65535,8668,4.466019417,0.116504854,0.466019417,0.145631068,0.116504854,0.019417476,1.126213592,1.873786408,0.116504854,1.54368932,0.087378641,0.058252427,5.203883495,0.718446602,0.126213592,0.650485437,0.13592233,0.058252427,0.504854369,0,0.553398058,0.32038835,0.650485437,0.300970874,0.611650485,1.116504854,0.174757282,11.53398058,0.097087379,0.116504854,20.17475728,36.83495146,8668,2501,0.751316053,0.887931034,0.66025641,24,37.158,14.41495431,9.513041912,-58.49338606,1222.087379,52.17475728,0.733333333,73,6337,8401,8935,0,0,0,0,0,0,0
65535,8693,4.90625,0.15625,0.46875,0.041666667,0.09375,0.041666667,1.020833333,2.302083333,0.083333333,0.895833333,0.135416667,0.083333333,8.822916667,0.59375,0.197916667,0.40625,0.072916667,0.020833333,0.416666667,0.020833333,0.53125,0.260416667,0.739583333,0.135416667,0.84375,0.885416667,0.177083333,8.53125,0.114583333,0.104166667,19.36458333,36.51041667,8693,2331,0.478178464,0.932038835,0.666666667,24,35.422,12.08255688,10.61165893,17.28886965,1314.364583,51.16666667,0,0,0,0,0,0,0,0,0,0,0,0
65535,8717,6.824324324,0.22972973,0.432432432,0.054054054,0.054054054,0.067567568,1.608108108,2.22972973,0.094594595,1.189189189,0.108108108,0.067567568,15.45945946,0.567567568,1.608108108,0.5,0.175675676,0.148648649,0.486486486,0,0.77027027,0.243243243,0.932432432,0.148648649,2.094594595,0.891891892,0.148648649,12.13513514,0.067567568,0.081081081,22.08108108,39.47297297,8717,1797,0.798988469,0.913580247,0.560606061,24,32.982,13.13966938,7.901492162,34.84357506,1353.027027,51.01351351,0.585365854,49,7114,8984,0,0,0,0,0,0,0,0
65535,8741,2.096774194,0.161290323,0.241935484,0.064516129,0.032258065,0.14516129,0.629032258,1.661290323,0.14516129,1.129032258,0.016129032,0.096774194,6.016129032,0.451612903,0.112903226,0.306451613,0.016129032,0.032258065,0.467741935,0,0.548387097,0.14516129,0.483870968,0.112903226,0.758064516,0.435483871,0.112903226,6.177419355,0.064516129,0.112903226,20.12903226,34.06451613,8741,1505,0.789843217,0.911764706,0.688888889,24,28.003,11.62155767,7.127603666,28.00463547,43.11290323,52.19354839,0.529411765,73,9251,9858,10222,0,0,0,0,0,0,0
