ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_4_ALS_M_FrontalCrtx_240424_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7
622708,44,0.696078431,0.107843137,0.617647059,0.18627451,0.044117647,0.083333333,1.519607843,2.181372549,0.053921569,0.460784314,0.044117647,0.049019608,2.965686275,0.225490196,0.049019608,0.367647059,0.039215686,0.039215686,0.343137255,0.004901961,0.37254902,0.259803922,6.901960784,0.328431373,0.980392157,1.068627451,0.107843137,11.96568627,0.102941176,0.112745098,2505,204,0.619005078,0.927272727,0.6375,1,51.449,18.46842435,14.50486008,18.28926862,527.7352941,45.41666667,0.358208955,2,34,49,0,0,0,0,0
622708,45,0.892156863,0.166666667,0.784313725,0.245098039,0.029411765,0.049019608,1.31372549,1.931372549,0.078431373,0.5,0.049019608,0.029411765,2.784313725,0.254901961,0.029411765,0.294117647,0.088235294,0.039215686,0.215686275,0.029411765,0.519607843,0.196078431,0.656862745,0.31372549,0.950980392,0.784313725,0.137254902,11.25490196,0.12745098,0.147058824,2562,102,0.696422501,0.944444444,0.653846154,1,34.586,13.57063881,9.738724783,50.16111439,648.2254902,45.96078431,0.177777778,1,41,0,0,0,0,0,0
622708,46,0.583333333,0.135416667,0.46875,0.177083333,0.072916667,0.052083333,1.46875,1.208333333,0.041666667,0.260416667,0.020833333,0.052083333,2.947916667,0.3125,0.197916667,0.302083333,0.0625,0.03125,0.4375,0.020833333,0.270833333,0.166666667,0.916666667,0.364583333,3.104166667,0.520833333,0.09375,13.05208333,0.114583333,0.166666667,2619,96,0.450804757,0.95049505,0.727272727,1,33.246,11.89065066,10.61386327,-31.73605281,363.8125,45.0625,0.69047619,3,42,51,52,0,0,0,0
622708,47,1,0.065217391,0.434782609,0.173913043,0.010869565,0.043478261,0.826086957,1.597826087,0.043478261,0.369565217,0.032608696,0.02173913,4.239130435,0.315217391,0.097826087,0.293478261,0.043478261,0.043478261,0.326086957,0.02173913,0.380434783,0.184782609,0.652173913,0.260869565,0.641304348,0.760869565,0.065217391,11.19565217,0.097826087,0.119565217,2676,92,0.534096811,0.93877551,0.696969697,1,33.891,12.13827267,10.26197883,-64.5546796,46.42391304,48.10869565,0.487804878,2,31,53,0,0,0,0,0
622708,48,0.669230769,0.123076923,0.753846154,0.230769231,0.061538462,0.030769231,1.3,1.561538462,0.053846154,0.423076923,0.076923077,0.038461538,2.261538462,0.292307692,0.038461538,0.230769231,0.038461538,0.038461538,0.307692308,0.007692308,0.415384615,0.230769231,5.923076923,0.315384615,1.207692308,0.646153846,0.115384615,13.1,0.123076923,0.169230769,2733,130,0.595740892,0.962962963,0.714285714,1,37.96,14.45279424,11.60814739,-57.06322762,494.3153846,51.36923077,0.18,1,59,0,0,0,0,0,0
622708,49,0.380952381,0.083333333,0.630952381,0.226190476,0,0.071428571,0.761904762,1.55952381,0.047619048,0.226190476,0.011904762,0.083333333,2.583333333,0.214285714,0.035714286,0.214285714,0.05952381,0.083333333,0.321428571,0.023809524,0.488095238,0.154761905,1.119047619,0.166666667,1,0.785714286,0.095238095,12.17857143,0.095238095,0.083333333,2790,84,0.567874259,0.954545455,0.636363636,1,30.848,11.51652216,9.479425792,-74.88227683,517.1071429,51.60714286,0.45,2,34,44,0,0,0,0,0
622708,50,0.338842975,0.132231405,0.545454545,0.140495868,0.008264463,0.05785124,0.925619835,1.214876033,0.033057851,0.363636364,0.016528926,0.016528926,1.58677686,0.181818182,0.223140496,0.165289256,0.041322314,0.074380165,0.289256198,0.008264463,0.41322314,0.173553719,0.636363636,0.214876033,0.842975207,0.636363636,0.05785124,11.19008264,0.049586777,0.090909091,2847,121,0.523981478,0.9453125,0.664835165,1,37.497,13.55678246,11.54671369,-18.34486142,337.2727273,53,0.265306122,2,38,54,0,0,0,0,0
622708,51,0.4375,0.0875,0.7625,0.0875,0,0.075,1.05,1.375,0.025,0.4125,0.05,0.05,2.1625,0.15,1.6625,0.15,0.0125,0.075,1.0125,0.025,0.2875,0.1625,0.6125,0.1375,2.35,0.6,0.1125,11.1625,0.05,0.1625,2904,80,0.738530409,0.930232558,0.727272727,1,30.798,12.54247397,8.456388911,-49.64031897,360.7,53.1125,0.921052632,3,46,52,54,0,0,0,0
622708,52,0.265306122,0.173469388,1.06122449,0.163265306,0.030612245,0.040816327,1.010204082,1.346938776,0.071428571,0.255102041,0.040816327,0.020408163,1.346938776,0.173469388,1.12244898,0.255102041,0.030612245,0.071428571,0.969387755,0.020408163,0.357142857,0.295918367,10.40816327,0.326530612,0.897959184,0.448979592,0.071428571,12.41836735,0.112244898,0.153061224,2961,98,0.633286518,0.942307692,0.742424242,1,33.246,12.84506385,9.941018778,32.95453089,371.5,52.7755102,0.595238095,3,42,46,51,0,0,0,0
622708,53,0.6,0.155555556,1.044444444,0.155555556,0,0.055555556,0.766666667,1.622222222,0.033333333,0.277777778,0.022222222,0.022222222,1.688888889,0.322222222,1.944444444,0.166666667,0.033333333,0.122222222,1.466666667,0,0.322222222,0.277777778,1.033333333,0.3,0.688888889,0.611111111,0.133333333,14.1,0.088888889,0.066666667,3018,90,0.726608197,0.909090909,0.692307692,1,33.8,13.3552226,9.175733147,-17.13204142,44.95555556,56.27777778,0.404761905,1,47,0,0,0,0,0,0
