ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_3_Control_F_FrontalCrtx_240511_1_cellmas,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6
635192,37,0.044444444,0.2,0.077777778,0.044444444,0.055555556,0.055555556,1.155555556,1.811111111,0.088888889,1.388888889,0.088888889,0.011111111,1.977777778,0.311111111,0.122222222,0.244444444,0.044444444,0.066666667,0.344444444,0.022222222,0.955555556,0.666666667,0.466666667,0.322222222,0.144444444,0.766666667,0.088888889,4.833333333,0.377777778,0.111111111,3519,90,0.391505438,0.957446809,0.743801653,1,30.922,11.2255975,10.32952309,35.63150968,740.9222222,31.22222222,0,0,0,0,0,0,0,0
635192,38,0.097222222,0.236111111,0.104166667,0.055555556,0.083333333,0.027777778,1.298611111,2.215277778,0.083333333,1.1875,0.0625,0.020833333,0.805555556,0.326388889,0.069444444,0.326388889,0.034722222,0.090277778,0.395833333,0.013888889,0.979166667,0.722222222,0.256944444,0.361111111,0.069444444,0.736111111,0.125,4.881944444,0.270833333,0.083333333,3614,144,0.869356499,0.935064935,0.533333333,1,45.652,19.51589108,9.644469796,35.80321531,264.6388889,31.45833333,0.220338983,1,47,0,0,0,0,0
635192,39,0.106382979,0.20212766,0.095744681,0.106382979,0.053191489,0.063829787,2.510638298,2.329787234,0.042553191,1.29787234,0.063829787,0.074468085,1.042553191,0.361702128,0.074468085,0.393617021,0.074468085,0.063829787,0.329787234,0,1.074468085,0.776595745,0.457446809,0.457446809,0.191489362,0.808510638,0.117021277,6.79787234,0.414893617,0.159574468,3710,94,0.880672192,0.862385321,0.652777778,1,38.944,16.94390498,8.026771305,5.884191981,466.3404255,32.60638298,0.854166667,2,31,49,0,0,0,0
635192,41,0.067567568,0.243243243,0.067567568,0.040540541,0.067567568,0.054054054,1.648648649,2.77027027,0.067567568,1.824324324,0.108108108,0.013513514,1.027027027,0.189189189,0.067567568,0.432432432,0.054054054,0.081081081,0.418918919,0.027027027,1.067567568,1.040540541,0.554054054,0.337837838,0.081081081,0.824324324,0.148648649,6.945945946,0.337837838,0.040540541,3900,74,0.844892518,0.840909091,0.560606061,1,34.743,14.13179039,7.559604862,40.43139206,325.5675676,35.2972973,0.904761905,3,34,42,53,0,0,0
635192,42,0.121621622,0.094594595,0.135135135,0.067567568,0.027027027,0.067567568,1.013513514,2.310810811,0.054054054,0.932432432,0.094594595,0,1.027027027,0.189189189,0.121621622,0.256756757,0.067567568,0.027027027,0.472972973,0.027027027,0.945945946,0.405405405,0.283783784,0.351351351,0.121621622,0.837837838,0.135135135,5.878378378,0.243243243,0.108108108,3995,74,0.65457254,0.936708861,0.747474747,1,29.301,11.42847824,8.6399204,69.90474527,333.6081081,35.18918919,0.888888889,4,36,41,43,53,0,0
635192,43,0.070707071,0.212121212,0.101010101,0.050505051,0.080808081,0.070707071,1.303030303,2.494949495,0.03030303,1.555555556,0.02020202,0.04040404,1.232323232,0.272727273,0.050505051,0.303030303,0.060606061,0.181818182,0.353535354,0,1.313131313,1.01010101,0.424242424,0.444444444,0.090909091,0.858585859,0.131313131,5.97979798,0.282828283,0.060606061,4090,99,0.853030391,0.860869565,0.582352941,1,40.276,16.24970603,8.480091713,75.29680642,344.6868687,37.1010101,0.54,3,30,36,42,0,0,0
635192,44,0.088888889,0.162962963,0.148148148,0.081481481,0.051851852,0.037037037,1.548148148,2.222222222,0.02962963,1.377777778,0.111111111,0.014814815,0.688888889,0.22962963,0.051851852,0.222222222,0.059259259,0.096296296,0.325925926,0.014814815,0.859259259,0.62962963,1.22962963,0.237037037,0.02962963,0.740740741,0.185185185,5.637037037,0.251851852,0.066666667,4185,135,0.676250173,0.924657534,0.642857143,1,41.789,15.7005703,11.56617125,38.19821083,16.08888889,34.43703704,0,0,0,0,0,0,0,0
635192,45,0.038461538,0.182692308,0.076923077,0.048076923,0.067307692,0.067307692,1.163461538,2.009615385,0.057692308,1.394230769,0.028846154,0.028846154,0.701923077,0.201923077,0.105769231,0.240384615,0.057692308,0.163461538,0.317307692,0.019230769,0.865384615,0.644230769,0.365384615,0.307692308,0.067307692,0.721153846,0.048076923,3.903846154,0.298076923,0.134615385,4280,104,0.495287337,0.936936937,0.619047619,1,35.628,12.5177416,10.87452787,-5.880052013,80.33653846,35.61538462,0.152173913,1,25,0,0,0,0,0
635192,46,0.050505051,0.191919192,0.191919192,0.070707071,0.060606061,0.050505051,1.303030303,1.656565657,0.070707071,0.737373737,0.03030303,0.02020202,0.797979798,0.202020202,0.060606061,0.363636364,0.050505051,0.070707071,0.343434343,0.01010101,0.808080808,0.484848485,1.585858586,0.333333333,0.080808081,0.686868687,0.161616162,5.090909091,0.292929293,0.171717172,4375,99,0.744490152,0.916666667,0.642857143,1,36.24,14.14472885,9.443494015,25.91721784,781.6464646,36.46464646,0.733333333,3,33,40,57,0,0,0
635192,47,0.102739726,0.157534247,0.116438356,0.047945205,0.061643836,0.075342466,1.082191781,1.979452055,0.01369863,1.342465753,0.054794521,0.006849315,0.856164384,0.342465753,0.047945205,0.212328767,0.061643836,0.102739726,0.48630137,0.01369863,0.890410959,0.684931507,0.308219178,0.397260274,0.089041096,0.739726027,0.130136986,4.47260274,0.376712329,0.075342466,4470,146,0.721015467,0.929936306,0.651785714,1,43.311,16.60900302,11.50869323,47.59714658,276.3150685,36.14383562,0.232142857,1,38,0,0,0,0,0
