ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,Selection,Sel01
65535,40725,0.225806452,NaN,0.483870968,0,0.064516129,0.032258065,2.709677419,2.677419355,0.064516129,0.677419355,0.096774194,0,2.870967742,0.451612903,0.064516129,0.451612903,0.161290323,0.064516129,0.258064516,0,0.838709677,0.612903226,0.193548387,0.35483871,0,0.677419355,0.096774194,3.580645161,0.225806452,0.032258065,40725,580,0.647099898,0.939393939,0.738095238,19,19.195,7.605842595,5.798734111,78.63856984,386.7096774,666.5483871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,40744,0.470588235,0.088235294,0.235294118,0,0.088235294,0.058823529,1.147058824,1.558823529,0,1.470588235,0.088235294,0,11.17647059,0.470588235,0.117647059,0.176470588,0.029411765,0.088235294,0.617647059,0,1.323529412,0.558823529,0.235294118,0.470588235,0.147058824,0.382352941,0.058823529,NaN,0.117647059,0.088235294,40744,637,0.9441883,0.871794872,0.472222222,19,25.092,12.02740912,3.961903315,17.92145749,1080.264706,666.4705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,40763,0.422222222,0.066666667,0.111111111,0.066666667,0.066666667,0,0.844444444,2.266666667,0.044444444,1.2,0.022222222,0.088888889,7.888888889,0.222222222,0.044444444,0.288888889,0.088888889,0.044444444,0.222222222,0,2.111111111,0.288888889,0.333333333,0.444444444,0.066666667,0.777777778,0.111111111,4.422222222,0.244444444,0.088888889,40763,843,0.729405375,0.616438356,0.375,19,35.504,12.05901382,8.249350916,27.37264445,702.7111111,666.0888889,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,40781,0.619047619,0.238095238,0.214285714,0.119047619,0.095238095,0.071428571,0.952380952,3.30952381,0.071428571,1.476190476,0.095238095,0.047619048,5.714285714,0.261904762,0.142857143,0.261904762,0.023809524,0.095238095,0.428571429,0,1.30952381,0.357142857,0.333333333,0.452380952,0.119047619,0.285714286,0.095238095,5.357142857,0.30952381,0.119047619,40781,786,0.503554455,0.84,0.666666667,19,26.597,8.607976608,7.436977505,-27.38389267,753.2857143,668.7380952,0.21875,19,40875,0,0,0,0,0,0,0,0,0,0,1
65535,40800,0.222222222,0.19047619,0.174603175,0.079365079,0.063492063,0,1.047619048,3.26984127,0.095238095,0.920634921,0.126984127,0.015873016,6.158730159,0.301587302,0.301587302,0.365079365,0.079365079,0.047619048,0.444444444,0,1.285714286,0.222222222,0.444444444,0.555555556,0.031746032,0.428571429,0.047619048,3.714285714,0.158730159,0.126984127,40800,1180,0.733240672,0.84,0.572727273,19,31.468,11.72727603,7.974186541,-49.42200474,919.7936508,668.6031746,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,40819,0.181818182,0.090909091,0.090909091,0.045454545,0,0.090909091,NaN,3.409090909,0,1.136363636,0.045454545,0.136363636,5.636363636,0.363636364,0.181818182,0.227272727,0.045454545,0.045454545,0.136363636,0,1.772727273,0.227272727,0.318181818,0.590909091,0.136363636,0.181818182,0.045454545,3.409090909,0.409090909,0.045454545,40819,412,0.914216257,0.88,0.55,19,17.789,8.763523926,3.551213414,21.41473937,18481,666.1818182,0.421052632,19,40913,0,0,0,0,0,0,0,0,0,0,0
65535,40838,0.28125,0.21875,0.15625,0.0625,0.1875,0.09375,1.15625,2.5,0.03125,1.25,0,0.03125,6.59375,0.25,0.09375,0.1875,0,0.03125,0.1875,0,1.25,0.28125,0.34375,0.40625,0.0625,0.21875,0.03125,3.375,0.46875,0.1875,40838,599,0.888798005,0.780487805,0.444444444,19,24.637,10.82852632,4.962704351,48.87779487,203.90625,666.40625,0.448275862,19,41100,0,0,0,0,0,0,0,0,0,0,1
65535,40856,0.545454545,0.136363636,0.136363636,0.045454545,0.136363636,0.045454545,0.818181818,1.181818182,0,0.863636364,0.090909091,0.045454545,5.954545455,0.181818182,1.863636364,0.045454545,0.090909091,0.090909091,0.863636364,0.045454545,1.409090909,0.181818182,0.181818182,0.363636364,0.045454545,0.363636364,0.136363636,5.090909091,0.181818182,0.045454545,40856,412,0.735017976,0.956521739,0.733333333,19,14.233,6.539972741,4.434412955,50.94432902,563.0909091,667.2727273,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,40875,0.304347826,0.130434783,0.260869565,0,0,0,1.086956522,2.260869565,0,1.260869565,0.043478261,0.043478261,4.347826087,0.608695652,0,0.304347826,0.086956522,0.086956522,0.47826087,0.043478261,1.434782609,0.173913043,0.260869565,0.347826087,0.043478261,0.173913043,0.043478261,3.565217391,0.260869565,0.086956522,40875,431,0.949595566,0.884615385,0.851851852,19,19.17,10.29983987,3.228770009,-4.254633801,761.9130435,668.0869565,0.571428571,37,40781,41044,0,0,0,0,0,0,0,0,0,1
65535,40894,0.607142857,0.142857143,0.178571429,0.035714286,0.214285714,0.107142857,1.107142857,3.071428571,0.178571429,1.321428571,0.071428571,0.035714286,10.78571429,0.428571429,0.071428571,0.357142857,0.071428571,0.107142857,0.285714286,0.035714286,1.535714286,0.392857143,0.321428571,0.535714286,0,0.321428571,0.178571429,4.071428571,0.285714286,0.071428571,40894,524,0.818445737,0.933333333,0.666666667,19,17.88,8.108889907,4.659237009,49.11573542,779.6071429,669.7142857,0,0,0,0,0,0,0,0,0,0,0,0,0,1
