ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_190Os_190Os,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_6_Control_M_Cerebellum_240424_1,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7
65535,53211,0.152380952,0.2,0.180952381,0.038095238,0.038095238,0.057142857,1.285714286,2.828571429,0.028571429,1.133333333,0.038095238,0.047619048,4.276190476,0.523809524,0.104761905,0.361904762,0.047619048,0.133333333,0.60952381,0.00952381,0.980952381,1.2,0.914285714,0.447619048,0.476190476,0.571428571,0.114285714,11.82857143,0.076190476,0.085714286,0.647619048,16.74285714,32.37142857,53211,2635,0.644489948,0.9375,0.734265734,25,35.421,13.38385963,10.23347015,11.59577344,190.2380952,1058.485714,0.244444444,25,52860,0,0,0,0,0,0
65535,53236,0.085470085,0.111111111,0.393162393,0.025641026,0.017094017,0.05982906,0.897435897,1.794871795,0.05982906,0.282051282,0.068376068,0.025641026,1.111111111,0.358974359,0.094017094,0.418803419,0.068376068,0.102564103,0.88034188,0.025641026,0.495726496,0.495726496,3.829059829,0.239316239,0.264957265,0.811965812,0.094017094,27.20512821,0.162393162,0.222222222,0.401709402,16.1965812,28.73504274,53236,2937,0.711613419,0.943548387,0.692307692,25,37.381,14.68460176,10.31697881,37.88415454,25576,1058.717949,0,0,0,0,0,0,0,0,0
65535,53261,0.132653061,0.183673469,0.459183673,0.030612245,0.040816327,0.06122449,0.765306122,1.724489796,0.051020408,0.224489796,0.040816327,0.020408163,1.132653061,0.285714286,0.081632653,0.408163265,0.06122449,0.030612245,1.265306122,0,0.326530612,0.714285714,3.204081633,0.346938776,0.326530612,0.836734694,0.102040816,27.7755102,0.214285714,0.234693878,0.591836735,15.86734694,27.02040816,53261,2460,0.725953569,0.933333333,0.685314685,25,34.677,13.58330982,9.341835938,-29.02103314,882.1122449,1060.122449,0,0,0,0,0,0,0,0,0
65535,53286,0.266666667,0.116666667,0.141666667,0.05,0.016666667,0.058333333,1.666666667,1.841666667,0.041666667,0.5,0.033333333,0.025,2.766666667,0.35,0.041666667,0.283333333,0.058333333,0.075,0.566666667,0.008333333,0.5,0.333333333,3.158333333,0.15,0.841666667,0.733333333,0.158333333,16.30833333,0.133333333,0.291666667,0.525,17.33333333,30.04166667,53286,3012,0.781636807,0.9375,0.659340659,25,38.324,15.79174996,9.849848828,53.98141706,272.0416667,1063.7,0,0,0,0,0,0,0,0,0
65535,53312,0.09375,0.1484375,0.3203125,0.0390625,0.0234375,0.125,2.0625,2.0546875,0.0625,0.3046875,0.046875,0.1015625,2.28125,0.546875,0.0703125,0.3828125,0.125,0.0546875,0.453125,0.0234375,0.453125,0.6640625,9.7890625,0.2890625,0.625,0.71875,0.1328125,18.796875,0.1171875,0.203125,0.421875,18.4296875,33.0703125,53312,3213,0.727481985,0.907801418,0.60952381,25,40.962,15.74784063,10.80501522,-51.24636988,249.8671875,1066.679688,0,0,0,0,0,0,0,0,0
65535,53337,0.189473684,0.242105263,0.094736842,0.063157895,0.021052632,0.063157895,0.989473684,2.126315789,0.052631579,0.736842105,0.021052632,0.052631579,4.747368421,0.357894737,0.231578947,0.305263158,0.021052632,0.052631579,0.705263158,0.010526316,0.610526316,0.673684211,2.421052632,0.357894737,0.505263158,0.4,0.115789474,10.66315789,0.115789474,0.094736842,0.684210526,17.09473684,29.95789474,53337,2384,0.657240181,0.931372549,0.730769231,25,33.643,12.84816446,9.68341995,-81.86841616,122.1684211,1067.294737,0.139534884,25,53111,0,0,0,0,0,0
65535,53362,0.25,0.147435897,0.288461538,0.051282051,0.025641026,0.070512821,1.538461538,1.634615385,0.038461538,0.224358974,0.025641026,0.038461538,1.884615385,0.378205128,0.102564103,0.391025641,0.032051282,0.064102564,0.615384615,0.012820513,0.538461538,0.628205128,4.064102564,0.307692308,0.525641026,1.051282051,0.185897436,21.5,0.153846154,0.173076923,0.467948718,17.8974359,30.14102564,53362,3916,0.748245928,0.923076923,0.666666667,25,45.271,17.6603083,11.71622749,77.39707287,293.6282051,1073.801282,0,0,0,0,0,0,0,0,0
65535,53387,0.174825175,0.251748252,0.216783217,0.048951049,0.027972028,0.076923077,1.314685315,3.195804196,0.013986014,1.447552448,0.06993007,0.041958042,6.538461538,0.496503497,0.132867133,0.230769231,0.041958042,0.132867133,0.58041958,0.020979021,1.265734266,1.328671329,0.734265734,0.342657343,0.545454545,0.524475524,0.06993007,13.25874126,0.153846154,0.104895105,0.587412587,17.85314685,33.48251748,53387,3589,0.410649835,0.916666667,0.680952381,25,42.641,14.41884439,13.14700326,-32.60340963,138.2867133,1073.384615,0,0,0,0,0,0,0,0,0
65535,53412,0.209302326,0.178294574,0.085271318,0.03875969,0.023255814,0.031007752,2.88372093,3.457364341,0.054263566,0.875968992,0.031007752,0.007751938,6.937984496,0.542635659,1.093023256,0.325581395,0.015503876,0.11627907,0.379844961,0.023255814,0.875968992,0.813953488,2.364341085,0.333333333,2.131782946,0.868217054,0.11627907,13.58914729,0.062015504,0.124031008,0.534883721,21.7751938,38.25581395,53412,3238,0.734371783,0.934782609,0.661538462,25,40.011,15.72973129,10.67651482,48.40699082,91.93023256,1075.875969,0,0,0,0,0,0,0,0,0
65535,53437,0.142857143,0.243697479,0.12605042,0.042016807,0.025210084,0.008403361,1.344537815,3.058823529,0.050420168,1.285714286,0.100840336,0.092436975,4.302521008,0.378151261,0.067226891,0.352941176,0.016806723,0.12605042,0.773109244,0.042016807,1.235294118,1.176470588,0.655462185,0.302521008,0.43697479,0.630252101,0.075630252,13.8487395,0.092436975,0.12605042,0.554621849,19.08403361,35.77310924,53437,2987,0.756798137,0.944444444,0.793333333,25,37.935,15.36719402,10.04474588,-82.53237987,175.4537815,1078.932773,0.229166667,25,53638,0,0,0,0,0,0
