ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_190Os_190Os,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,Selection,Sel01
65535,44718,0.791666667,0.097222222,0.263888889,0.055555556,0.097222222,0.138888889,1.305555556,0.791666667,0.055555556,0.208333333,0.027777778,0.055555556,2.152777778,0.236111111,0.069444444,0.083333333,0.055555556,0.055555556,0.125,0.013888889,0.152777778,0.111111111,0.958333333,0.111111111,0.458333333,0.166666667,0.111111111,6.486111111,0.027777778,0.027777778,0,35.68055556,63.94444444,44718,1322,0.889891012,0.86746988,0.6,18,36.629,15.10801472,6.891871385,-17.09168696,205.625,927.8333333,0.909090909,37,44571,44975,0,0,0,0,0,0,0,1
65535,44736,1.711864407,0.13559322,0.101694915,0.050847458,0.033898305,0.06779661,0.813559322,0.644067797,0,0.084745763,0.101694915,0.033898305,4.152542373,0.152542373,0.118644068,0.186440678,0.084745763,0.033898305,0.152542373,0.016949153,0.06779661,0.084745763,0.830508475,0.101694915,0.237288136,0.372881356,0.033898305,4.237288136,0.016949153,0.06779661,0.016949153,24.44067797,43.47457627,44736,1083,0.549934663,0.951612903,0.728395062,18,24.546,9.572729954,7.995217562,44.03054456,659.8474576,927.8813559,0.375,18,44479,0,0,0,0,0,0,0,0,1
65535,44755,1.253623188,0.137681159,0.173913043,0.072463768,0.014492754,0.079710145,1.442028986,0.956521739,0.072463768,0.130434783,0.014492754,0.079710145,6.869565217,0.188405797,0.202898551,0.108695652,0.036231884,0.02173913,0.065217391,0.028985507,0.268115942,0.115942029,1.956521739,0.086956522,0.355072464,0.210144928,0.050724638,4.333333333,0.014492754,0.086956522,0.02173913,29.02173913,52.05072464,44755,2533,0.556859743,0.965034965,0.758241758,18,39.424,14.64817941,12.16687364,15.52685565,961.7753623,928.2898551,0,0,0,0,0,0,0,0,0,0,0,1
65535,44773,1.247706422,0.137614679,0.211009174,0.036697248,0.009174312,0.082568807,1.440366972,0.880733945,0.064220183,0.137614679,0.064220183,0.04587156,9.266055046,0.155963303,0.128440367,0.146788991,0.04587156,0.064220183,0.082568807,0.018348624,0.28440367,0.201834862,2.04587156,0.119266055,0.431192661,0.256880734,0.100917431,4.146788991,0.009174312,0.027522936,0.009174312,35.72477064,65.89908257,44773,2001,0.561799723,0.956140351,0.698717949,18,35.785,13.17726858,10.90120214,19.86006278,1047.651376,928.6238532,0.456521739,18,44314,0,0,0,0,0,0,0,0,1
65535,44791,1.259259259,0.111111111,0.259259259,0.111111111,0,0.074074074,0.666666667,0.740740741,0.037037037,0.074074074,0,0.037037037,2.407407407,0.037037037,0.074074074,0.074074074,0.074074074,0,0.037037037,0.074074074,0.222222222,0.148148148,0.481481481,0.037037037,0.185185185,0.259259259,0.148148148,4.666666667,0.074074074,0,0,16.40740741,28.07407407,44791,496,0.629118822,18,0.771428571,18,15.73,6.735040325,5.23520844,0,246.3703704,17054,0,0,0,0,0,0,0,0,0,0,0,0
65535,44810,0.780487805,0.073170732,0.12195122,0.048780488,0.048780488,0.048780488,0.902439024,0.682926829,0.097560976,0.292682927,0.048780488,0.024390244,3.195121951,0.170731707,0.097560976,0.097560976,0,0.024390244,0.097560976,0.024390244,0.292682927,0.097560976,0.609756098,0.097560976,0.243902439,0.146341463,0.073170732,5.365853659,0.024390244,0.024390244,0.048780488,14.34146341,29.92682927,44810,753,0.615157625,0.976190476,0.732142857,18,20.047,8.257302891,6.510091827,24.30960952,256.4390244,928.8780488,0.384615385,18,44461,0,0,0,0,0,0,0,0,1
65535,44828,2.290909091,0.181818182,0.181818182,0.109090909,0.036363636,0.072727273,1.836363636,1.145454545,0.054545455,0.127272727,0.018181818,0.018181818,6.054545455,0.2,0.090909091,0.163636364,0.036363636,0.036363636,0.109090909,0.036363636,0.163636364,0.272727273,1.090909091,0.127272727,0.145454545,0.927272727,0.181818182,22.56363636,0.090909091,0.127272727,0,15.85454545,31.32727273,44828,1010,0.449444279,0.916666667,0.679012346,18,24.455,9.041657527,8.076988328,-70.32043414,712.6727273,17072,0.419354839,18,44516,0,0,0,0,0,0,0,0,0
65535,44846,1.589473684,0.094736842,0.2,0.042105263,0.010526316,0.073684211,1.115789474,1.157894737,0.031578947,0.136842105,0,0.021052632,5.442105263,0.263157895,0.115789474,0.136842105,0.021052632,0.063157895,0.147368421,0.010526316,0.157894737,0.042105263,1.410526316,0.115789474,0.263157895,0.231578947,0.042105263,6.168421053,0.063157895,0.042105263,0.031578947,24.48421053,45.35789474,44846,1744,0.818700225,0.826086957,0.521978022,18,39.904,16.01220964,9.194549614,-54.67244349,869.6631579,928.1368421,0.480769231,18,44920,0,0,0,0,0,0,0,0,1
65535,44865,1.975,0.1,0.225,0.025,0,0.1,0.35,0.575,0.075,0.025,0.05,0.025,4.3,0.075,0.025,0.025,0.1,0.025,0.2,0,0.275,0.05,0.5,0.025,0.05,0,0.1,1.725,0,0,0,15.15,26.95,44865,734,0.745287594,0.975609756,0.740740741,18,20.32,8.840067397,5.894054215,16.01388492,888.575,930.425,0.32,18,45287,0,0,0,0,0,0,0,0,1
65535,44883,1.590909091,0.045454545,0.227272727,0.045454545,0.045454545,0.090909091,0.636363636,0.363636364,0,0.045454545,0.045454545,0,3.818181818,0.136363636,0.090909091,0.090909091,0.045454545,0.090909091,0.045454545,0,0.090909091,0,0.818181818,0.090909091,0.136363636,0.272727273,0,2.409090909,0.045454545,0.090909091,0.045454545,17.36363636,29.27272727,44883,404,0.729859909,0.956521739,0.628571429,18,14.994,6.622515448,4.52713002,31.17359249,1135.227273,931.0454545,0.944444444,37,44700,45195,0,0,0,0,0,0,0,1
