ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,neighbour_4_CellId12,neighbour_4_CellId13
65535,13703,2.454545455,0.272727273,0.363636364,0.060606061,0.03030303,0.090909091,0.96969697,2.878787879,0.060606061,1.636363636,0.121212121,0,4.393939394,0.606060606,0.03030303,0.454545455,0.060606061,0.090909091,3.090909091,0.03030303,0.727272727,0.545454545,0.515151515,0.636363636,1.151515152,0.515151515,0.151515152,10.03030303,0.363636364,0.212121212,13703,484,0.916958121,0.804878049,0.471428571,15,23.876,11.52166035,4.596951958,34.75198996,525.4848485,195.3636364,0.586206897,29,12940,13277,0,0,0,0,0,0,0,0,0,0,0
65535,13717,1.586206897,0.034482759,0.172413793,0,0,0.034482759,0.724137931,1.310344828,0.034482759,1.206896552,0,0.068965517,3.206896552,0.310344828,0.034482759,0.310344828,0.103448276,0.103448276,1.551724138,0,0.24137931,0.24137931,0.310344828,0.172413793,1.137931034,0.24137931,0.034482759,6.034482759,0.172413793,0.172413793,13717,425,0.809890396,0.966666667,0.725,15,17.599,8.109558721,4.756914974,24.59245806,645.5172414,197.1724138,0.428571429,15,14348,0,0,0,0,0,0,0,0,0,0,0,0
65535,13732,1.711864407,0.13559322,0.372881356,0.033898305,0.118644068,0.13559322,1.491525424,2.86440678,0.033898305,2.186440678,0.084745763,0.033898305,3.152542373,0.610169492,0.033898305,0.576271186,0.084745763,0.169491525,2.355932203,0.016949153,1.305084746,0.677966102,0.593220339,0.661016949,1.898305085,0.983050847,0.220338983,9.898305085,0.237288136,0.237288136,13732,866,0.785308307,0.893939394,0.595959596,15,28.383,11.41782656,7.068832244,57.07802753,656.1355932,197.4067797,0.694444444,29,13585,14451,0,0,0,0,0,0,0,0,0,0,0
65535,13747,0.6,0.1,0.9,0.1,0.1,0.05,1.6,1.2,0,1.2,0.1,0,2.05,0.55,0,0.3,0.05,0.05,0.8,0,0.65,0.6,1.2,0.2,0.3,1.15,0.05,9.2,0.05,0.1,13747,293,0.867925457,0.952380952,0.555555556,15,14.994,7.397673446,3.67438352,35.98470126,723.45,197.5,0.111111111,15,14289,0,0,0,0,0,0,0,0,0,0,0,0
65535,13761,1.894736842,0.289473684,0.421052632,0,0.026315789,0.184210526,7.552631579,3.342105263,0.052631579,0.710526316,0.157894737,0.078947368,5.947368421,1.078947368,0.131578947,0.684210526,0.105263158,0.210526316,0.789473684,0,0.789473684,0.315789474,1.421052632,0.473684211,1.578947368,0.947368421,0.184210526,8.526315789,0.263157895,0.236842105,13761,557,0.519018943,0.95,0.775510204,15,19.749,7.720451239,6.599154034,-33.00871912,124.6052632,196.8947368,0.416666667,15,13321,0,0,0,0,0,0,0,0,0,0,0,0
65535,13791,0.75,0.25,0.222222222,0,0.055555556,0.027777778,0.861111111,2.555555556,0.055555556,2.055555556,0.138888889,0.027777778,1.972222222,0.361111111,0.027777778,0.75,0.055555556,0.138888889,3.722222222,0,0.5,0.444444444,0.805555556,0.5,0.861111111,0.388888889,0.222222222,8.444444444,0.166666667,0.083333333,13791,528,0.631752758,0.923076923,0.642857143,15,20.601,8.183458078,6.343570795,51.3505195,567.8333333,198.7777778,15,44,13659,13820,14275,0,0,0,0,0,0,0,0,0,0
65535,13820,1.569892473,0.204301075,0.311827957,0.075268817,0.053763441,0.096774194,1.301075269,2.440860215,0.010752688,1.64516129,0.043010753,0.075268817,6.537634409,0.408602151,0.129032258,0.483870968,0.064516129,0.129032258,1.817204301,0.010752688,0.720430108,0.365591398,0.634408602,0.311827957,0.741935484,0.462365591,0.172043011,5.602150538,0.311827957,0.086021505,13820,1364,0.600941547,0.801724138,0.596153846,15,39.697,13.10388847,10.47384598,-88.01394149,560.6774194,200.1827957,0.791666667,73,13659,13791,13981,14275,14964,0,0,0,0,0,0,0,0
65535,13835,1.35483871,0.225806452,0.451612903,0.064516129,0.064516129,0.032258065,1.064516129,2.935483871,0.032258065,2.032258065,0.032258065,0,3.129032258,0.322580645,0.096774194,0.612903226,0.096774194,0,3.516129032,0,0.838709677,0.35483871,0.451612903,0.677419355,0.935483871,0.225806452,0.064516129,7.161290323,0.290322581,0.161290323,13835,455,0.796310902,0.861111111,0.645833333,15,19.956,8.504924685,5.144523045,67.6470618,418.5806452,197.9032258,0.52173913,29,13042,13967,0,0,0,0,0,0,0,0,0,0,0
65535,13849,0.741935484,0.064516129,0.612903226,0.225806452,0.258064516,0.064516129,1.064516129,1.677419355,0.064516129,0.741935484,0.064516129,0,1.129032258,0.290322581,0.064516129,0.612903226,0.032258065,0.161290323,0.903225806,0,0.870967742,0.548387097,1.709677419,0.35483871,0.580645161,1.483870968,0.129032258,10.93548387,0.225806452,0.064516129,13849,455,0.924987251,0.794871795,0.492063492,15,21.362,10.84628434,4.121567861,26.87970469,1027.129032,199.1612903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,13908,1.347826087,0.217391304,1.130434783,0.086956522,0.043478261,0.173913043,1.043478261,2.434782609,0.086956522,0.739130435,0.043478261,0,1.217391304,0.52173913,0.130434783,0.347826087,0.130434783,0,3.434782609,0.043478261,0.565217391,0.652173913,0.52173913,0.260869565,1.173913043,1.260869565,0.173913043,12.13043478,0.565217391,0.130434783,13908,337,0.809149264,0.958333333,0.766666667,15,14.696,7.169356313,4.212736397,32.84621145,1301.478261,199.9130435,0.5,15,14378,0,0,0,0,0,0,0,0,0,0,0,0
