ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_1_Control_F_Cerebellum_240424_1_cellmask,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,neighbour_4_CellId12,neighbour_4_CellId13,neighbour_4_CellId14
65535,3998,1.791666667,0.145833333,0.222222222,0.111111111,0.055555556,0.03125,1.802083333,0.951388889,0.055555556,0.295138889,0.03125,0.027777778,1.958333333,0.277777778,0.069444444,0.253472222,0.052083333,0.03125,0.229166667,0.020833333,0.256944444,0.204861111,4.496527778,0.173611111,0.631944444,0.333333333,0.065972222,11.57638889,0.059027778,0.111111111,47149,3396,0.62154616,0.963210702,0.770053476,12,59.636,21.81061294,17.08594433,16.58249909,1226.447917,86.57986111,0.851351351,94,3302,3420,3715,3774,3927,4375,4588,4776,0,0,0,0,0,0
65535,4010,1.93814433,0.144329897,0.18556701,0.103092784,0.06185567,0.051546392,2.030927835,1.06185567,0.030927835,0.298969072,0.020618557,0.030927835,2.072164948,0.309278351,0.051546392,0.195876289,0.020618557,0.010309278,0.237113402,0,0.24742268,0.164948454,2.886597938,0.082474227,0.288659794,0.309278351,0.072164948,8.989690722,0.103092784,0.051546392,47291,1144,0.349145034,0.873873874,0.573964497,12,37.464,12.09922451,11.33780456,66.75095389,1279.350515,88.74226804,0.958333333,47,3727,3845,4246,4363,0,0,0,0,0,0,0,0,0,0
65535,4021,3.93877551,0.183673469,0.204081633,0.020408163,0.040816327,0.040816327,0.285714286,0.959183673,0.040816327,0.183673469,0.081632653,0.020408163,1.93877551,0.142857143,0.020408163,0.204081633,0.020408163,0.020408163,0.306122449,0,0.204081633,0.142857143,2.346938776,0.204081633,0.530612245,0.306122449,0.040816327,9.428571429,0.020408163,0.163265306,47421,578,0.607158595,0.98,0.765625,12,22.561,9.016529202,7.164359811,-50.65496624,4647,86.57142857,0.964285714,35,3562,4198,4210,0,0,0,0,0,0,0,0,0,0,0
65535,4033,2.202797203,0.083916084,0.174825175,0.118881119,0.027972028,0.083916084,0.832167832,0.874125874,0.041958042,0.146853147,0.041958042,0.034965035,1.307692308,0.251748252,0.076923077,0.356643357,0.062937063,0.097902098,0.335664336,0,0.167832168,0.125874126,2.797202797,0.146853147,0.503496503,0.272727273,0.034965035,10.72727273,0.076923077,0.146853147,47562,1686,0.513165654,0.947019868,0.785714286,12,41.177,14.74509454,12.65556107,-89.74317345,518.0559441,88.71328671,0.714285714,47,3455,3951,4493,4517,0,0,0,0,0,0,0,0,0,0
65535,4045,2.844720497,0.186335404,0.322981366,0.074534161,0.074534161,0.093167702,0.888198758,1.428571429,0.068322981,0.198757764,0.043478261,0.167701863,7.919254658,0.155279503,0.130434783,0.192546584,0.074534161,0.074534161,0.204968944,0.01242236,0.322981366,0.124223602,3.863354037,0.192546584,0.813664596,0.391304348,0.111801242,11.61490683,0.093167702,0.192546584,47704,1899,0.494830333,0.952662722,0.715555556,12,42.459,15.42172116,13.40131545,41.78604262,632.6708075,88.22360248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,4057,1.27607362,0.104294479,0.36809816,0.030674847,0.030674847,0.073619632,0.374233129,1.208588957,0.030674847,0.496932515,0.049079755,0.024539877,2.650306748,0.337423313,0.17791411,0.26993865,0.055214724,0.036809816,0.282208589,0.018404908,0.319018405,0.153374233,2.981595092,0.208588957,0.779141104,0.496932515,0.042944785,9.834355828,0.085889571,0.104294479,47845,1922,0.728145935,0.920903955,0.639215686,12,47.107,17.67110034,12.11216326,-22.02620645,369.3803681,91.55828221,0.74137931,47,3597,3738,4198,4434,0,0,0,0,0,0,0,0,0,0
65535,4069,2.227642276,0.18699187,0.243902439,0.097560976,0.081300813,0.089430894,0.682926829,0.691056911,0.024390244,0.406504065,0.024390244,0.081300813,1.333333333,0.154471545,0.056910569,0.170731707,0.032520325,0.008130081,0.243902439,0,0.25203252,0.130081301,4.341463415,0.146341463,0.325203252,0.227642276,0.089430894,7.43902439,0.097560976,0.146341463,47987,1451,0.542223281,0.976190476,0.86013986,12,36.678,13.73087682,11.53715559,8.587932819,572.7723577,89.78861789,0.863636364,35,3679,4116,4411,0,0,0,0,0,0,0,0,0,0,0
65535,4080,1.658536585,0.138211382,0.207317073,0.06504065,0.085365854,0.040650407,1.052845528,0.723577236,0.020325203,0.369918699,0.044715447,0.032520325,2.735772358,0.146341463,0.069105691,0.162601626,0.044715447,0.036585366,0.174796748,0.004065041,0.243902439,0.105691057,4.947154472,0.073170732,0.483739837,0.223577236,0.052845528,7.93902439,0.044715447,0.105691057,48116,2901,0.670649488,0.957198444,0.698863636,12,55.46,20.80031261,15.42913946,-2.99915698,1139.739837,89.1300813,0.38028169,24,3408,3668,0,0,0,0,0,0,0,0,0,0,0,0
65535,4092,1.586206897,0.068965517,0.144827586,0.15862069,0.048275862,0.055172414,1.379310345,0.855172414,0.062068966,0.268965517,0.027586207,0.055172414,2.020689655,0.213793103,0.068965517,0.275862069,0.082758621,0.013793103,0.337931034,0,0.317241379,0.131034483,4.875862069,0.151724138,0.662068966,0.344827586,0.068965517,11.39310345,0.034482759,0.110344828,48258,1710,0.787893256,0.917721519,0.644444444,12,44.295,17.55079373,10.80798651,40.32233248,1247.710345,90.62068966,0.537037037,59,3479,3774,4387,4529,4776,0,0,0,0,0,0,0,0,0
65535,4104,0.47008547,0.145299145,0.239316239,0.085470085,0.05982906,0.076923077,0.341880342,0.897435897,0.034188034,0.273504274,0.051282051,0.05982906,1.52991453,0.230769231,0.042735043,0.324786325,0.025641026,0.025641026,0.307692308,0,0.205128205,0.282051282,2.572649573,0.128205128,0.247863248,0.521367521,0.145299145,24.05982906,0.102564103,0.264957265,48399,1380,0.53784503,0.966942149,0.818181818,12,35.578,13.33801028,11.24452588,75.01425253,908,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
