ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_6_ALS_M_Cerebellum_240424_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9
65535,32536,0.291666667,0.114583333,0.364583333,0.104166667,0.03125,0.03125,0.822916667,1.135416667,0.03125,0.291666667,0.020833333,0.03125,0.96875,0.208333333,0.1875,0.270833333,0.041666667,0.010416667,0.260416667,0,0.1875,0.104166667,4.208333333,0.114583333,0.979166667,0.28125,0.104166667,11.76041667,0.0625,0.104166667,32536,2226,0.400870401,0.96,0.727272727,23,31.774,11.61528584,10.64116725,-69.58140959,547.1354167,413.34375,0,0,0,0,0,0,0,0,0,0,0
65535,32559,1.207407407,0.2,0.592592593,0.237037037,0.177777778,0.125925926,1.918518519,0.837037037,0.051851852,0.251851852,0.103703704,0.02962963,1.659259259,0.192592593,0.022222222,0.311111111,0.066666667,0.037037037,0.22962963,0.014814815,0.266666667,0.177777778,8.481481481,0.266666667,0.459259259,0.362962963,0.088888889,12.8,0.074074074,0.066666667,32559,3131,0.533992425,0.964285714,0.642857143,23,40.665,14.51642934,12.27348512,44.50272854,805.3259259,413.8740741,0.403846154,23,32953,0,0,0,0,0,0,0,0
65535,32582,1.383561644,0.287671233,0.383561644,0.273972603,0.178082192,0.068493151,0.630136986,1.095890411,0.095890411,0.205479452,0.068493151,0.02739726,0.904109589,0.260273973,0.01369863,0.301369863,0.054794521,0.04109589,0.315068493,0.02739726,0.082191781,0.273972603,8.520547945,0.232876712,0.561643836,0.424657534,0.02739726,14.73972603,0.095890411,0.232876712,32582,1693,0.676644863,0.9125,0.663636364,23,29.789,11.52318845,8.484633516,73.77265072,680.1643836,416.4520548,0.918918919,70,32443,32814,33023,0,0,0,0,0,0
65535,32605,0.546666667,0.253333333,0.866666667,0.4,0.226666667,0.093333333,1.333333333,1.026666667,0.08,0.266666667,0.08,0.026666667,1.106666667,0.226666667,0.053333333,0.613333333,0,0.066666667,0.36,0.026666667,0.4,0.28,12.18666667,0.213333333,0.2,0.306666667,0.093333333,13.69333333,0.053333333,0.146666667,32605,1739,0.484382565,0.9375,0.75,23,29.392,10.62068937,9.291576921,45.2401637,752.9733333,413.9866667,0.971428571,70,32049,32860,32930,0,0,0,0,0,0
65535,32628,0.640449438,0.123595506,0.505617978,0.157303371,0.224719101,0.02247191,0.640449438,0.820224719,0.056179775,0.348314607,0.146067416,0.02247191,1.123595506,0.247191011,0.011235955,0.179775281,0.02247191,0.011235955,0.269662921,0.011235955,0.415730337,0.303370787,11.58426966,0.134831461,0.191011236,0.348314607,0.112359551,10.17977528,0.06741573,0.146067416,32628,2064,0.74985345,0.956989247,0.674242424,23,33.155,13.35916929,8.838479344,62.1434818,767.011236,414.5955056,0.785714286,93,32025,32744,32930,33139,0,0,0,0,0
65535,32652,1.891891892,0.216216216,0.716216216,0.148648649,0.283783784,0.027027027,1.77027027,0.837837838,0.121621622,0.486486486,0.027027027,0.067567568,2.648648649,0.216216216,0.121621622,0.310810811,0.040540541,0.013513514,0.391891892,0.013513514,0.364864865,0.216216216,9.851351351,0.310810811,0.662162162,0.27027027,0.121621622,14.94594595,0.027027027,0.121621622,32652,1716,0.776205717,0.936708861,0.711538462,23,30.889,12.68932017,8.000359103,12.82255644,865.472973,415.2027027,0.789473684,46,32420,33092,0,0,0,0,0,0,0
65535,32675,0.904347826,0.095652174,0.426086957,0.130434783,0.026086957,0.060869565,0.530434783,0.939130435,0.052173913,0.165217391,0.052173913,0.069565217,1.182608696,0.208695652,0.060869565,0.27826087,0.07826087,0.034782609,0.252173913,0.008695652,0.295652174,0.182608696,8.347826087,0.226086957,0.547826087,0.2,0.052173913,8.008695652,0.052173913,0.07826087,32675,2667,0.540351599,0.92,0.68452381,23,37.935,13.42819699,11.2990131,16.4283679,153.2608696,418.1217391,0.8125,70,32327,33162,33231,0,0,0,0,0,0
65535,32698,0.182692308,0.067307692,0.490384615,0.067307692,0.009615385,0.048076923,0.394230769,1.125,0.038461538,0.480769231,0.038461538,0.019230769,0.913461538,0.221153846,0.125,0.317307692,0.067307692,0.038461538,0.615384615,0,0.25,0.259615385,10.72115385,0.240384615,0.778846154,0.25,0.086538462,8.307692308,0.067307692,0.086538462,32698,2412,0.584352783,0.95412844,0.727272727,23,34.379,12.87273562,10.44622159,-87.71477141,174.6634615,416.9615385,0.046511628,23,33162,0,0,0,0,0,0,0,0
65535,32744,1.706896552,0.293103448,0.396551724,0.137931034,0.465517241,0.086206897,0.844827586,0.793103448,0.034482759,0.431034483,0.034482759,0.017241379,1.327586207,0.310344828,0.120689655,0.465517241,0.034482759,0.017241379,0.224137931,0.017241379,0.5,0.310344828,11.89655172,0.275862069,0.224137931,0.413793103,0.051724138,12.60344828,0.120689655,0.24137931,32744,1345,0.918043724,0.828571429,0.591836735,23,31.468,14.88158189,5.900237028,81.88511116,773.0517241,416.5172414,23,116,32281,32628,32768,33139,33208,0,0,0,0
65535,32768,0.195121951,0.170731707,0.292682927,0.146341463,0.195121951,0.024390244,1.219512195,0.756097561,0.12195122,0.195121951,0.024390244,0.048780488,0.292682927,0.170731707,0.024390244,0.365853659,0.073170732,0,0.195121951,0.024390244,0.292682927,0.317073171,11.04878049,0.170731707,0.317073171,0.219512195,0.073170732,8.12195122,0.048780488,0.170731707,32768,951,0.411535692,0.931818182,0.650793651,23,21.635,7.821541457,7.128503171,-79.0504248,777.6097561,417.1219512,23,70,32281,32744,33208,0,0,0,0,0,0
65535,32791,3.915254237,0.118644068,0.449152542,0.093220339,0.042372881,0.110169492,6.56779661,1.957627119,0.127118644,0.220338983,0.06779661,0.118644068,6.983050847,0.56779661,1.703389831,0.338983051,0.076271186,0.228813559,0.381355932,0.008474576,0.279661017,0.118644068,2.720338983,0.237288136,2.084745763,0.550847458,0.110169492,13.03389831,0.101694915,0.06779661,32791,2736,0.776211358,0.951612903,0.655555556,23,37.497,15.58025695,9.822927927,62.79683563,1222.550847,417.0084746,0,0,0,0,0,0,0,0,0,0,0
65535,32814,1.091954023,0.137931034,0.505747126,0.091954023,0.16091954,0.034482759,1.528735632,0.712643678,0.022988506,0.218390805,0.068965517,0.022988506,0.942528736,0.195402299,0.08045977,0.287356322,0.045977011,0.045977011,0.275862069,0.011494253,0.298850575,0.137931034,8.436781609,0.16091954,0.632183908,0.310344828,0.08045977,9.931034483,0.068965517,0.091954023,32814,2018,0.751231413,0.90625,0.659090909,23,33.155,13.3044363,8.781445639,64.75577427,686.7816092,418.9195402,0.512195122,23,32582,0,0,0,0,0,0,0,0
65535,32837,1.772727273,0.340909091,0.386363636,0.272727273,0.181818182,0.090909091,3.204545455,1.090909091,0.090909091,0.25,0.068181818,0.022727273,1.477272727,0.704545455,0.022727273,0.363636364,0.022727273,0.045454545,0.340909091,0.022727273,0.522727273,0.204545455,7.977272727,0.25,0.318181818,0.272727273,0.113636364,16.43181818,0.068181818,0.090909091,32837,1020,0.880021746,0.916666667,0.611111111,23,25.282,11.45591374,5.440795976,-7.444700791,726.1818182,418.3863636,23,46,32489,33115,0,0,0,0,0,0,0
65535,32860,0.703125,0.1875,0.625,0.203125,0.234375,0.078125,1.953125,0.78125,0.046875,0.234375,0.140625,0,1.078125,0.375,0.078125,0.265625,0.015625,0.078125,0.34375,0.03125,0.265625,0.25,10.984375,0.296875,0.375,0.296875,0.0625,11.828125,0.109375,0.046875,32860,1484,0.840055586,0.888888889,0.615384615,23,30.244,12.83972826,6.965556863,-81.57409228,746.640625,417.671875,23,116,32049,32605,32930,33046,33254,0,0,0,0
65535,32883,2.59223301,0.184466019,0.368932039,0.106796117,0.019417476,0.13592233,1.281553398,1.660194175,0.038834951,0.223300971,0.077669903,0.097087379,11.50485437,0.349514563,5.533980583,0.291262136,0.116504854,0.194174757,0.932038835,0.009708738,0.436893204,0.145631068,3.174757282,0.194174757,0.873786408,0.631067961,0.077669903,12.65048544,0.116504854,0.242718447,32883,2389,0.654336994,0.944954128,0.735714286,23,34.288,13.25462008,10.02318453,-87.79218913,927.592233,416.3009709,0,0,0,0,0,0,0,0,0,0,0
