ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_2_ALS_F_FrontalCrtx_240511_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5
322271,44,0.779411765,0.147058824,0.411764706,0.132352941,0.088235294,0.014705882,1.029411765,2.073529412,0.102941176,1.661764706,0.073529412,0.029411765,1.926470588,0.367647059,0.529411765,0.323529412,0.102941176,0.058823529,0.808823529,0.014705882,0.882352941,0.191176471,0.367647059,0.470588235,0.411764706,0.823529412,0.132352941,6.720588235,0.294117647,0.073529412,3525,68,0.750420321,0.944444444,0.581196581,1,30.17,11.85685545,7.836918127,-2.618073023,532.7941176,40.38235294,1,4,35,39,54,60,0
322271,45,0.83248731,0.16751269,0.517766497,0.091370558,0.106598985,0.111675127,1.335025381,2.106598985,0.060913706,1.725888325,0.086294416,0.060913706,4.131979695,0.411167513,0.126903553,0.487309645,0.055837563,0.060913706,0.807106599,0.015228426,0.964467005,0.456852792,2.644670051,0.395939086,0.324873096,1.126903553,0.192893401,9.16751269,0.208121827,0.131979695,3605,197,0.791801441,0.827731092,0.521164021,1,57.544,21.97789919,13.42363012,-33.41855682,355.5837563,38.51269036,0.473684211,2,29,66,0,0,0
322271,46,1.19266055,0.174311927,0.339449541,0.04587156,0.128440367,0.04587156,1.119266055,3.440366972,0.036697248,2.504587156,0.100917431,0.073394495,4.321100917,0.348623853,0.678899083,0.403669725,0.082568807,0.110091743,0.532110092,0.04587156,1.091743119,0.422018349,0.559633028,0.458715596,0.155963303,0.779816514,0.19266055,9.844036697,0.201834862,0.165137615,3685,109,0.563845899,0.915966387,0.648809524,1,37.1,13.32423952,11.00422316,-2.18666609,11.6146789,42.58715596,0.282608696,1,42,0,0,0,0
322271,47,0.818181818,0.090909091,0.490909091,0.063636364,0.090909091,0.054545455,0.963636364,2.218181818,0.036363636,1.281818182,0.072727273,0.072727273,2.345454545,0.272727273,0.181818182,0.318181818,0.018181818,0.090909091,0.663636364,0.009090909,0.781818182,0.336363636,0.5,0.290909091,0.227272727,0.790909091,0.172727273,7.090909091,0.309090909,0.1,3765,110,0.768985515,0.948275862,0.733333333,1,36.066,14.91191466,9.532683064,-11.11458561,558,42.64545455,0,0,0,0,0,0,0
322271,48,0.75,0.0875,0.7,0.075,0.1,0.0375,1.4125,2.8625,0.0125,1.1125,0.05,0.05,5.75,0.4125,0.2375,0.525,0.075,0.025,0.775,0,0.5875,0.2875,2.3875,0.3375,0.3,1,0.1625,9.5875,0.2125,0.2375,3846,80,0.683361585,0.888888889,0.615384615,1,31.956,12.22756964,8.927105202,1.190238992,465.375,43.775,0.414634146,1,41,0,0,0,0
322271,49,0.809917355,0.132231405,0.429752066,0.05785124,0.066115702,0.041322314,1.190082645,2.429752066,0.033057851,1.487603306,0.066115702,0.033057851,3.05785124,0.231404959,0.32231405,0.396694215,0.049586777,0.05785124,0.79338843,0.008264463,0.785123967,0.347107438,0.785123967,0.289256198,0.355371901,0.884297521,0.123966942,8.776859504,0.148760331,0.198347107,3926,121,0.57955332,0.96031746,0.720238095,1,36.918,13.84564302,11.28328971,22.8341873,618.9256198,43.76033058,0.276595745,1,69,0,0,0,0
322271,50,1.022222222,0.177777778,0.444444444,0.155555556,0.059259259,0.096296296,1.214814815,2.992592593,0.059259259,1.659259259,0.088888889,0.051851852,5.259259259,0.311111111,0.251851852,0.362962963,0.081481481,0.118518519,0.488888889,0.022222222,0.925925926,0.503703704,0.444444444,0.555555556,0.17037037,0.82962963,0.148148148,10.18518519,0.148148148,0.111111111,4006,135,0.691584947,0.912162162,0.649038462,1,42.55,15.88072275,11.47056877,-8.961380947,85.01481481,44.2,0,0,0,0,0,0,0
322271,51,0.47008547,0.136752137,0.427350427,0.094017094,0.094017094,0.051282051,0.923076923,1.846153846,0.051282051,1.811965812,0.085470085,0.068376068,2.675213675,0.307692308,0.179487179,0.273504274,0.051282051,0.128205128,0.803418803,0.008547009,0.888888889,0.427350427,0.393162393,0.333333333,0.213675214,0.914529915,0.153846154,6.777777778,0.299145299,0.128205128,4086,117,0.771199934,0.936,0.664772727,1,38.994,15.53510277,9.889537852,-11.78914911,441.8461538,43.4957265,0,0,0,0,0,0,0
322271,52,0.904255319,0.223404255,0.468085106,0.212765957,0.063829787,0.074468085,1.361702128,3.063829787,0.095744681,1.255319149,0.063829787,0.042553191,3.212765957,0.340425532,0.085106383,0.542553191,0.042553191,0.085106383,0.670212766,0.031914894,0.755319149,0.340425532,0.840425532,0.340425532,0.234042553,1,0.255319149,10.82978723,0.234042553,0.106382979,4166,94,0.714225674,0.959183673,0.671428571,1,33.089,13.23747775,9.265115663,11.23801604,28.63829787,45.60638298,0.418604651,1,42,0,0,0,0
322271,53,1,0.06741573,0.528089888,0.101123596,0.011235955,0.056179775,0.97752809,2.314606742,0.056179775,1.595505618,0.06741573,0.02247191,2.640449438,0.348314607,0.056179775,0.258426966,0.04494382,0.078651685,0.460674157,0.011235955,0.719101124,0.370786517,0.449438202,0.438202247,0.292134831,0.865168539,0.06741573,8.269662921,0.269662921,0.123595506,4246,89,0.419949543,0.946808511,0.674242424,1,31.493,11.27770109,10.23504891,22.52189089,417.8089888,44.93258427,0.341463415,1,68,0,0,0,0
