ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,Selection,Sel01
65535,22139,0.211538462,0.057692308,0.076923077,0.019230769,0.019230769,0.057692308,1.134615385,1.403846154,0.173076923,0.115384615,0.019230769,0.019230769,0.403846154,0.365384615,0,0.211538462,0.019230769,0,0.115384615,0.019230769,0.307692308,0.288461538,0.923076923,0.153846154,0.211538462,0.557692308,0.115384615,30.36538462,0.057692308,0.25,19.11538462,35.63461538,22139,998,0.770219264,0.896551724,0.577777778,19,26.134,10.5729589,6.74321308,31.93467293,61.28846154,485.25,0.9375,77,21832,22274,22293,22389,0,0,0,0,0,3,0
65535,22159,1.122222222,0.088888889,0.011111111,0.033333333,0.044444444,0.011111111,0.822222222,NaN,0.022222222,0.055555556,0.033333333,0.011111111,3.266666667,0.222222222,0.066666667,0.155555556,0.011111111,0,0.077777778,0,0.211111111,0.166666667,4.544444444,0.122222222,0.466666667,0.3,0.044444444,5.811111111,0.022222222,0.044444444,33.2,60.57777778,22159,1728,0.366006955,0.97826087,0.743801653,19,30.724,11.16943334,10.39440998,24.24649854,1249.133333,486.1,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,22178,0.711538462,0.108974359,0.102564103,0.051282051,0.038461538,0.051282051,0.814102564,0.980769231,0.025641026,0.16025641,0.012820513,0.051282051,8.487179487,0.467948718,0.108974359,0.179487179,0.051282051,0.044871795,0.121794872,0.006410256,0.205128205,0.185897436,3.153846154,0.057692308,0.737179487,0.134615385,0.064102564,6.737179487,0.019230769,0.08974359,21.17948718,37.26923077,22178,2995,0.543381468,0.981132075,0.696428571,19,42.344,15.51827402,13.02737228,18.55769962,112.7564103,486.9166667,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,22197,1.013157895,0.171052632,0.118421053,0.039473684,0.026315789,0.026315789,0.657894737,0.868421053,0.039473684,0.144736842,0,0,2.671052632,0.263157895,0.039473684,0.118421053,0.026315789,0.026315789,0.078947368,0.013157895,0.263157895,0.197368421,7.302631579,0.184210526,0.631578947,0.144736842,0.065789474,7.421052632,0.026315789,0.026315789,32.21052632,61.71052632,22197,1459,0.458296464,0.915662651,0.690909091,19,30.798,10.72988604,9.536716136,84.34503376,319.4473684,487.1842105,0.810810811,58,22312,22331,22562,0,0,0,0,0,0,0,1
65535,22216,0.59375,0.072916667,0.083333333,0.03125,0.010416667,0.041666667,0.552083333,0.833333333,0.020833333,0.125,0.104166667,0.010416667,4.291666667,0.3125,0.0625,0.166666667,0.010416667,0.041666667,0.15625,0.010416667,0.239583333,0.1875,1.135416667,0.177083333,0.333333333,0.40625,0.15625,7.979166667,0.052083333,0.072916667,35.15625,65.63541667,22216,1843,0.560811668,0.989690722,0.79338843,19,31.832,12.20923378,10.10855452,38.9278741,1188.166667,488.09375,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,22235,1.181818182,0.060606061,0,0,0,0.03030303,0.303030303,1.272727273,0.060606061,0.212121212,0,0.03030303,2.454545455,0.333333333,0.03030303,0.060606061,0.03030303,0,0.03030303,0,0.151515152,0.060606061,0.242424242,0.090909091,0.212121212,0.181818182,0.060606061,6.121212121,0.090909091,0.090909091,14.66666667,24.06060606,22235,634,0.302594999,0.970588235,0.589285714,19,18.931,6.844714758,6.523829259,-40.2688389,1087.545455,488.0909091,0.625,38,21967,22351,0,0,0,0,0,0,0,0,1
65535,22255,0.655172414,0.103448276,0.068965517,0.034482759,0.017241379,0.034482759,0.793103448,0.982758621,0.017241379,0.137931034,0,0.017241379,1.172413793,0.293103448,0.034482759,0.155172414,0.017241379,0.017241379,0.017241379,0,0.310344828,0.396551724,5.551724138,0.120689655,0.396551724,0.206896552,0.086206897,6.293103448,0.034482759,0.051724138,26.34482759,47.20689655,22255,1114,0.525023074,0.950819672,0.644444444,19,26.134,9.5737522,8.148105543,24.32789279,1099.396552,488.1034483,0.636363636,38,21967,22351,0,0,0,0,0,0,0,0,1
65535,22274,0.296296296,0.101851852,0.111111111,0.037037037,0.027777778,0.037037037,0.87037037,1.222222222,0.194444444,0.166666667,0.027777778,0.009259259,2.361111111,0.5,0.027777778,0.12037037,0.083333333,0.046296296,0.12962963,0.009259259,0.351851852,0.203703704,0.990740741,0.111111111,0.157407407,0.138888889,0.083333333,5.824074074,0.064814815,0.037037037,11.38888889,21.00925926,22274,2074,0.623220676,0.915254237,0.755244755,19,36.769,13.53956726,10.58856479,34.68515725,52.0462963,490.3796296,19,173,21832,22101,22139,22293,22370,22389,22811,23138,23234,3,0
65535,22293,0.432432432,0.054054054,0.216216216,0.027027027,0.054054054,0.027027027,1.513513514,1.081081081,0.108108108,0.162162162,0.054054054,0,0.945945946,0.486486486,0.027027027,0.243243243,0.081081081,0.054054054,0.054054054,0.027027027,0.189189189,0.405405405,1.108108108,0.216216216,0.216216216,0.756756757,0.189189189,36.21621622,0.108108108,0.27027027,26.56756757,47.94594595,22293,710,0.929540396,0.840909091,0.480519481,19,25.216,12.26125934,4.520975111,22.9884761,63.91891892,9390,19,58,22139,22274,22389,0,0,0,0,0,0,0,0
65535,22312,NaN,0.068627451,0.088235294,0.039215686,0.019607843,0.019607843,0.656862745,1.098039216,0.039215686,0.18627451,0.019607843,0.009803922,2.81372549,0.343137255,0.088235294,0.352941176,0.058823529,0.029411765,0.058823529,0.029411765,0.264705882,0.274509804,4.068627451,0.088235294,0.352941176,0.362745098,0.078431373,10.33333333,0.039215686,0.098039216,27.52941176,50.02941176,22312,1959,0.618249485,0.953271028,0.772727273,19,34.255,13.04273953,10.25135742,63.46747166,310.8333333,489.7843137,0.642857143,38,22197,22504,0,0,0,0,0,0,0,0,0
