ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11
65535,47753,0.508474576,0.084745763,0.881355932,0.254237288,0.254237288,0.06779661,2.915254237,1.677966102,0.06779661,0.372881356,0.13559322,0.050847458,2.983050847,0.423728814,0.13559322,0.474576271,0.050847458,0.186440678,0.610169492,0.016949153,0.389830508,0.457627119,11.83050847,0.457627119,0.644067797,0.661016949,0.169491525,21.98305085,0.288135593,0.305084746,47753,914,0.910600828,0.551401869,0.297979798,15,58.653,17.34916946,7.170185945,-23.5881082,275.1525424,1183.610169,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,47769,0.315789474,0.157894737,0.342105263,0.131578947,0.078947368,0.105263158,2.578947368,2.526315789,0.026315789,0.447368421,0.026315789,0,3.026315789,0.631578947,0.078947368,0.526315789,1.084507042,0.157894737,2.052631579,0.026315789,1.910377358,0.263157895,1.026315789,0.921052632,0.973684211,1.157894737,0.289473684,15.68421053,0.421052632,0.052631579,47769,589,0.636426988,15,0.791666667,15,18.914,7.992256208,6.164722522,10.35843753,494.6578947,1182.394737,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,47784,0.56,0.18,0.74,0.16,0.2,0.06,3.36,2.32,0.06,0.18,0.02,0.04,4.54,0.58,0.16,0.42,0.04,0.04,0.62,0.08,0.32,0.4,13.68,0.36,0.54,0.48,0.08,20.7,0.3,0.36,47784,774,0.544745464,0.793650794,0.555555556,15,31.005,9.377215122,7.863746131,-5.829974017,1263.38,1183.04,0.35483871,15,47970,0,0,0,0,0,0,0,0,0,0
65535,47800,1.196428571,0.267857143,0.928571429,0.375,0.267857143,0.071428571,2.875,1.696428571,0.089285714,0.428571429,0.107142857,0.035714286,4.178571429,0.696428571,0.125,0.589285714,0.125,0.071428571,0.553571429,0,0.482142857,0.232142857,4.75,0.303571429,0.482142857,0.910714286,0.125,20.48214286,0.160714286,0.089285714,47800,867,0.335366903,0.811594203,0.56,15,31.187,9.198915333,8.66618404,-36.50622027,67.07142857,1182.517857,0.696969697,31,47459,47908,0,0,0,0,0,0,0,0,0
65535,47815,0.612244898,0.204081633,0.959183673,0.244897959,0.183673469,0.081632653,2.367346939,1.897959184,0.06122449,0.326530612,0.102040816,0.102040816,1.591836735,0.551020408,0.081632653,0.653061224,0.06122449,0.081632653,0.959183673,0.040816327,0.469387755,0.265306122,3.204081633,0.408163265,0.326530612,0.714285714,0.306122449,20.87755102,0.387755102,0.163265306,47815,759,0.622170802,0.803278689,0.494949495,15,29.715,9.551697539,7.477847602,15.12588398,228.2040816,1181.22449,0.59375,31,47629,48141,0,0,0,0,0,0,0,0,0
65535,47831,0.5,0.058823529,0.764705882,0.411764706,0.264705882,0.058823529,2.058823529,2.205882353,0,0.382352941,0.205882353,0.029411765,2.617647059,0.470588235,0.117647059,0.529411765,0.058823529,0,0.823529412,0.029411765,0.588235294,0.176470588,12.94117647,0.323529412,0.441176471,0.588235294,0.147058824,19.70588235,0.264705882,0.117647059,47831,527,0.567850119,0.739130435,0.485714286,15,26.804,8.222605802,6.768289722,2.73223627,86.91176471,1184.264706,0.740740741,62,47351,47722,47908,48203,0,0,0,0,0,0,0
65535,47846,0.333333333,0.231884058,1.043478261,0.449275362,0.405797101,0.072463768,2.695652174,1.608695652,0.028985507,0.376811594,0.101449275,0.043478261,2.043478261,0.362318841,0.086956522,0.594202899,0.043478261,0.086956522,0.927536232,0.101449275,0.550724638,0.275362319,4.797101449,0.492753623,0.550724638,1.028985507,0.15942029,21.20289855,0.202898551,0.231884058,47846,1069,0.884111403,0.766666667,0.511111111,15,38.523,14.79645544,6.914031152,-12.99821984,105.5507246,1185.217391,0.586956522,46,48203,48357,48419,0,0,0,0,0,0,0,0
65535,47862,0.412371134,0.103092784,0.886597938,0.288659794,0.237113402,0.041237113,2.195876289,1.731958763,0.041237113,0.309278351,0.06185567,0.041237113,4.051546392,0.432989691,0.103092784,0.577319588,0.103092784,0.113402062,0.989690722,0.010309278,0.443298969,0.298969072,8.886597938,0.371134021,0.608247423,0.546391753,0.195876289,19.43298969,0.309278351,0.134020619,47862,1502,0.746286112,0.776,0.497435897,15,46.016,15.25014803,10.15088435,53.53781507,309.556701,1180.876289,0.49122807,15,48218,0,0,0,0,0,0,0,0,0,0
65535,47877,0.315789474,0.263157895,0.968421053,0.284210526,0.263157895,0.094736842,2.631578947,1.421052632,0.063157895,0.705263158,0.115789474,0.073684211,2.242105263,0.568421053,0.147368421,0.452631579,0.073684211,0.031578947,0.610526316,0.021052632,0.4,0.326315789,14.84210526,0.431578947,0.526315789,0.578947368,0.210526316,20.69473684,0.231578947,0.294736842,47877,1471,0.663004459,0.72519084,0.521978022,15,50.722,13.93522928,10.4321279,-62.37873442,1224.8,1182.905263,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,47893,0.194444444,0.152777778,0.888888889,0.166666667,0.208333333,0.041666667,1.958333333,1.680555556,0.041666667,0.458333333,0.180555556,0.069444444,2.013888889,0.527777778,0.083333333,0.597222222,0.069444444,0.041666667,0.666666667,0,0.458333333,0.305555556,12.20833333,0.430555556,0.375,0.680555556,0.069444444,19.54166667,0.097222222,0.208333333,47893,1115,0.931635365,0.666666667,0.342857143,15,67.006,18.4686194,6.711394295,40.48792749,38.80555556,1187.652778,0.706896552,62,47552,47567,47986,48187,0,0,0,0,0,0,0
65535,47908,0.602941176,0.117647059,0.985294118,0.264705882,0.25,0.088235294,1.779411765,1.661764706,0.073529412,0.338235294,0.044117647,0.029411765,2.882352941,0.382352941,0.117647059,0.5,0.102941176,0.029411765,0.588235294,0.044117647,0.544117647,0.338235294,10.54411765,0.397058824,0.338235294,0.441176471,0.308823529,20.02941176,0.220588235,0.220588235,47908,1053,0.824772341,0.618181818,0.485714286,15,45.056,14.85111569,8.397785068,-1.562684558,74.83823529,1186.852941,0.509803922,62,47722,47800,47831,48621,0,0,0,0,0,0,0
65535,47924,0.512195122,0.213414634,0.884146341,0.530487805,0.280487805,0.097560976,2.719512195,1.920731707,0.030487805,0.213414634,0.134146341,0.042682927,2.12195122,0.865853659,0.164634146,0.512195122,0.067073171,0.067073171,1.006097561,0.018292683,0.512195122,0.31097561,6.164634146,0.640243902,0.335365854,7.04,0.274390244,22.95121951,0.25,0.219512195,47924,2540,0.859438786,0.609665428,0.39047619,15,101.286,24.93116287,12.74577444,-32.28488834,149.3841463,1188.365854,0.411214953,31,47614,48373,0,0,0,0,0,0,0,0,0
65535,47939,0.730769231,0.153846154,2.545454545,0.346153846,0.384615385,0,3.730769231,2.538461538,0.076923077,0.192307692,0.038461538,0.192307692,3.461538462,0.615384615,0.076923077,0.615384615,0.115384615,0.038461538,0.730769231,0.038461538,0.653846154,0.461538462,5.5,0.538461538,0.461538462,7.04,0.192307692,27.92307692,0.346153846,0.269230769,47939,403,0.858361641,0.742857143,0.481481481,15,22.95,9.04322834,4.639584153,85.61665203,402.1538462,1184.615385,0.869565217,31,47660,48063,0,0,0,0,0,0,0,0,0
65535,47955,0.345679012,0.191358025,0.938271605,0.234567901,0.358024691,0.074074074,3.00617284,1.62345679,0.061728395,0.259259259,0.080246914,0.067901235,2.240740741,0.469135802,0.098765432,0.469135802,0.055555556,0.018518519,0.395061728,0.012345679,0.512345679,0.388888889,14.7962963,0.351851852,0.296296296,0.512345679,0.234567901,21.35802469,0.271604938,0.234567901,47955,2509,0.691949539,0.677824268,0.476470588,15,81.057,18.26905691,13.18927014,-84.88028616,1203.95679,1180.401235,0.320987654,46,47180,48342,48605,0,0,0,0,0,0,0,0
65535,47970,1.243243243,0.081081081,1.054054054,0.27027027,0.243243243,0.135135135,5.162162162,2.135135135,0.081081081,0.189189189,0.054054054,0.027027027,10.59459459,0.432432432,0.135135135,0.486486486,0.054054054,0.108108108,0.648648649,0.027027027,0.378378378,0.162162162,7.27027027,0.324324324,0.513513514,0.756756757,0.324324324,22.21621622,0.135135135,0.27027027,47970,573,0.701441637,0.74,0.513888889,15,27.06,9.083582398,6.4741135,-50.22471408,1270.783784,1186.27027,0.892857143,46,47784,48574,48776,0,0,0,0,0,0,0,0
65535,47986,0.456896552,0.112068966,1.120689655,0.198275862,0.362068966,0.086206897,2.25,1.646551724,0.043103448,0.448275862,0.155172414,0.051724138,2.293103448,0.310344828,0.198275862,0.482758621,0.051724138,0.043103448,0.637931034,0.017241379,0.387931034,0.456896552,11.57758621,0.327586207,0.517241379,0.706896552,0.232758621,20.12931034,0.327586207,0.181034483,47986,1797,0.885319544,0.637362637,0.479338843,15,64.004,21.2059953,9.860429909,-8.687960728,20.87931034,1187.112069,0.148648649,15,47893,0,0,0,0,0,0,0,0,0,0
65535,48001,0.895348837,0.104651163,0.302325581,0.348837209,0.174418605,0.093023256,4.941860465,2.162790698,0.093023256,0.290697674,0.046511628,0.069767442,5.418604651,0.511627907,0.093023256,0.534883721,0.11627907,0.046511628,2.081395349,0.023255814,0.395348837,0.26744186,4.593023256,0.372093023,1.802325581,0.581395349,0.151162791,17.56976744,0.290697674,0.127906977,48001,1332,0.703864841,0.722689076,0.511904762,15,55.361,13.7873169,9.793598932,37.17798958,252.8372093,1185.662791,0.365384615,46,47320,48512,48760,0,0,0,0,0,0,0,0
65535,48017,0.277108434,0.301204819,0.903614458,0.289156627,0.361445783,0.072289157,2.795180723,1.481927711,0.036144578,0.457831325,0.120481928,0.012048193,1.975903614,0.734939759,0.108433735,0.445783133,0.072289157,0.060240964,0.710843373,0.012048193,0.457831325,0.421686747,12.25301205,0.409638554,0.409638554,0.674698795,0.13253012,21.56626506,0.43373494,0.34939759,48017,1286,0.409698341,0.805825243,0.628787879,15,44.014,11.29581544,10.30428078,-3.362904081,325.4578313,1185.144578,0.977272727,62,47382,47583,48218,48234,0,0,0,0,0,0,0
65535,48032,0.325581395,0.186046512,0.837209302,0.348837209,0.348837209,0,2.418604651,1.511627907,0.023255814,0.23255814,0.046511628,0.046511628,1.953488372,0.511627907,0.046511628,0.302325581,0.046511628,0.069767442,0.674418605,0.023255814,0.302325581,0.23255814,11.48837209,0.558139535,0.325581395,0.511627907,0.162790698,19.27906977,0.186046512,0.139534884,48032,666,0.604362902,0.811320755,0.671875,15,28.756,8.76460991,6.982844981,24.35051966,180.627907,1186.604651,0.678571429,46,48125,48388,48497,0,0,0,0,0,0,0,0
65535,48048,0.393442623,0.180327869,0.754098361,0.393442623,0.295081967,0.032786885,2.229508197,1.836065574,0.081967213,0.163934426,0.098360656,0.06557377,2.62295082,0.491803279,0.147540984,0.557377049,0.049180328,0.016393443,0.868852459,0,0.540983607,0.37704918,7.016393443,0.508196721,0.491803279,0.770491803,0.213114754,24.72131148,0.31147541,0.180327869,48048,945,0.833870097,0.897058824,0.586538462,15,30.815,12.3351172,6.808500448,-21.72601012,375.0655738,1185.57377,0.742857143,31,47691,48249,0,0,0,0,0,0,0,0,0
65535,48063,0.326530612,0.204081633,1.265306122,0.367346939,0.265306122,0.142857143,3.469387755,2.06122449,0.06122449,0.387755102,0.12244898,0.040816327,2.979591837,0.367346939,0.163265306,0.571428571,0.06122449,0.06122449,1.102040816,0.020408163,0.612244898,0.428571429,11.85714286,0.530612245,0.489795918,1.06122449,0.06122449,27.97959184,0.306122449,0.326530612,48063,759,0.921801282,0.803278689,0.453703704,15,32.32,13.48308577,5.226889927,59.24881235,397.122449,1186.979592,0.918918919,46,47660,47939,48543,0,0,0,0,0,0,0,0
65535,48094,0.933333333,0.1,0.3,0.033333333,0.1,0.1,4.266666667,6.94,0.033333333,0.266666667,0.066666667,0.066666667,8.133333333,0.266666667,0.066666667,0.6,0,0,0.8,0.066666667,0.4,0.366666667,11.5,0.266666667,1.266666667,0.7,0.133333333,13.73333333,0.2,0.1,48094,465,0.884053922,0.789473684,0.416666667,15,25.216,9.982641405,4.665736041,-48.72472552,1326.733333,1187.8,0.461538462,15,48172,0,0,0,0,0,0,0,0,0,0
65535,48110,1.226950355,0.106382979,0.24822695,0.120567376,0.141843972,0.063829787,9.567375887,1.829787234,0.141843972,0.546099291,0.063829787,0.028368794,14.55319149,0.460992908,0.255319149,0.446808511,0.035460993,0.063829787,0.843971631,0.014184397,0.645390071,0.177304965,3.290780142,0.446808511,2.546099291,0.723404255,0.170212766,13.4822695,0.226950355,0.163120567,48110,2184,0.434598774,0.691176471,0.518382353,15,63.689,15.36779966,13.8406119,-42.94422926,1365.794326,1189.553191,0,0,0,0,0,0,0,0,0,0,0,0,0
