ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_4_ALS_M_Cerebellum_240424_1_cellmasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,neighbour_4_CellId12
65535,30538,0.670886076,0.113924051,0.373417722,0.082278481,0.044303797,0.050632911,0.734177215,1.259493671,0.056962025,0.373417722,0.044303797,0.018987342,1.474683544,0.367088608,0.215189873,0.246835443,0.050632911,0.063291139,0.727848101,0.012658228,0.575949367,0.291139241,0.911392405,0.284810127,1.075949367,0.727848101,0.088607595,9.974683544,0.063291139,0.094936709,30538,1979,0.644548352,0.957575758,0.714932127,13,44.411,16.49593551,12.61219101,-5.856563925,677.1518987,721.778481,0.315789474,25,30613,30726,0,0,0,0,0,0,0,0,0,0
65535,30550,0.217391304,0.173913043,0.391304348,0.043478261,0.014492754,0.028985507,0.826086957,2.797101449,0.072463768,0.68115942,0.057971014,0.014492754,0.956521739,0.434782609,0.072463768,0.31884058,0.217391304,0.101449275,0.768115942,0,1.202898551,0.434782609,0.47826087,0.52173913,1.188405797,1.202898551,0.173913043,11.85507246,0.086956522,0.086956522,30550,864,0.374209885,0.92,0.69,13,27.829,9.882576744,9.164548609,83.33701331,700.5072464,722.5942029,0.428571429,13,30613,0,0,0,0,0,0,0,0,0,0,0
65535,30563,0.314814815,0.083333333,0.407407407,0.009259259,0.055555556,0.074074074,1.351851852,1.157407407,0.046296296,0.138888889,0.055555556,0,0.444444444,0.148148148,0.157407407,0.185185185,0.092592593,0.37037037,0.324074074,0,0.12962963,1.055555556,1.324074074,0.157407407,2.055555556,0.185185185,0.037037037,2.972222222,0.064814815,0.046296296,30563,1353,0.660213141,0.947368421,0.692307692,13,35.33,13.65096927,10.25294676,51.1285431,1421.296296,724.0277778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,30575,1.572327044,0.106918239,0.716981132,0.031446541,0.006289308,0.056603774,1.48427673,1.41509434,0.031446541,0.213836478,0.062893082,0.075471698,3.314465409,0.301886792,0.232704403,0.264150943,0.125786164,0.037735849,0.880503145,0.012578616,0.232704403,0.182389937,1.93081761,0.132075472,1.981132075,0.295597484,0.088050314,8.050314465,0.050314465,0.125786164,30575,1992,0.500421016,0.969512195,0.757142857,13,42.244,15.37202215,13.30882305,-40.35739204,109.1006289,727.3018868,0.314814815,13,30375,0,0,0,0,0,0,0,0,0,0,0
65535,30588,1.661654135,0.210526316,0.556390977,0.090225564,0.045112782,0.037593985,1.330827068,1.593984962,0.030075188,0.421052632,0.097744361,0.030075188,4.105263158,0.270676692,4.54887218,0.255639098,0.052631579,0.082706767,1.518796992,0.007518797,0.293233083,0.187969925,2.353383459,0.097744361,2.248120301,0.54887218,0.07518797,8.932330827,0.07518797,0.165413534,30588,1666,0.78890828,0.875,0.591111111,13,45.453,17.15790675,10.54372184,50.09666429,325.3383459,723.2556391,0.344827586,13,30601,0,0,0,0,0,0,0,0,0,0,0
65535,30601,1.212121212,0.060606061,0.303030303,0.03030303,0.060606061,0.015151515,1.727272727,1.666666667,0.060606061,0.378787879,0.03030303,0.136363636,4.712121212,0.272727273,3.196969697,0.212121212,0.075757576,0.075757576,1.5,0.015151515,0.378787879,0.151515152,4.5,0.166666667,3.96969697,0.46969697,0.106060606,6.772727273,0.045454545,0.045454545,30601,827,0.832239218,0.929577465,0.634615385,13,29.781,12.71398069,7.048843303,20.57324603,333.8939394,725.1515152,0.945945946,38,30588,30676,30788,0,0,0,0,0,0,0,0,0
65535,30613,0.18556701,0.12371134,0.701030928,0.113402062,0,0.082474227,0.855670103,1.463917526,0.030927835,0.226804124,0.103092784,0.020618557,1.587628866,0.371134021,0.020618557,0.340206186,0.020618557,0.041237113,1.082474227,0,0.463917526,0.288659794,2.175257732,0.164948454,1.793814433,0.75257732,0.051546392,13.54639175,0.051546392,0.082474227,30613,1215,0.607699912,0.932692308,0.621794872,13,34.677,12.67799488,10.06844191,-61.67522529,692.4123711,724.9175258,0.790697674,38,30538,30550,30726,0,0,0,0,0,0,0,0,0
65535,30626,1.12962963,0.138888889,0.564814815,0.25,0.055555556,0.046296296,0.944444444,1.212962963,0.027777778,0.37037037,0.083333333,0.037037037,1.425925926,0.277777778,0.101851852,0.185185185,0.055555556,0.074074074,0.425925926,0.018518519,0.231481481,0.324074074,7.453703704,0.203703704,0.648148148,0.537037037,0.046296296,11.33333333,0.046296296,0.166666667,30626,1353,0.783200593,0.76056338,0.519230769,13,45.949,16.5916228,10.31615861,-27.26441002,571.9814815,726.5648148,13,63,30337,30463,30638,30701,30826,0,0,0,0,0,0,0
65535,30638,0.753424658,0.130136986,0.794520548,0.150684932,0.047945205,0.04109589,1.260273973,1.534246575,0.095890411,0.294520548,0.102739726,0.061643836,1.226027397,0.308219178,0.547945205,0.452054795,0.01369863,0.034246575,0.952054795,0.006849315,0.369863014,0.239726027,5.253424658,0.219178082,0.952054795,0.623287671,0.089041096,13.63013699,0.089041096,0.109589041,30638,1829,0.380029732,0.966887417,0.744897959,13,41.293,14.32011785,13.24574058,-34.6234003,560.5684932,727.1643836,0.68627451,50,30438,30463,30626,30826,0,0,0,0,0,0,0,0
65535,30651,0.293103448,0.189655172,1.25862069,0.120689655,0.086206897,0.051724138,1.551724138,1.137931034,0.051724138,0.25862069,0.103448276,0.034482759,0.931034483,0.293103448,0.24137931,0.465517241,0.068965517,0.034482759,0.534482759,0,0.517241379,0.344827586,11.25862069,0.206896552,0.724137931,0.827586207,0.103448276,10.9137931,0.086206897,0.120689655,30651,726,0.895117319,0.84057971,0.552380952,13,32.312,13.63209484,6.077605955,14.33575781,603.9310345,727.8793103,13,50,30475,30500,30751,30839,0,0,0,0,0,0,0,0
65535,30663,0.329411765,0.094117647,0.823529412,0.117647059,0.035294118,0.094117647,1.117647059,1.647058824,0.070588235,0.082352941,0.035294118,0.058823529,0.647058824,0.341176471,0.047058824,0.482352941,0.105882353,0.011764706,0.552941176,0.035294118,0.235294118,0.352941176,2.082352941,0.305882353,0.529411765,0.705882353,0.129411765,16.38823529,0.070588235,0.094117647,30663,1065,0.730280866,0.913978495,0.594405594,13,33.081,12.9835612,8.869681201,-33.57064456,628.6823529,727.9647059,0.785714286,50,30262,30513,30525,30926,0,0,0,0,0,0,0,0
65535,30676,1.179104478,0.164179104,0.223880597,0.014925373,0,0.029850746,2.373134328,1.910447761,0.074626866,0.582089552,0.029850746,0.014925373,8.626865672,0.253731343,0.462686567,0.358208955,0.059701493,0.074626866,0.462686567,0,0.417910448,0.179104478,0.940298507,0.253731343,4.582089552,0.746268657,0.059701493,9.686567164,0.044776119,0.194029851,30676,839,0.691103398,0.881578947,0.62037037,13,29.508,11.28683616,8.157627443,15.06685398,340.4626866,728.4179104,0.756756757,25,30601,30788,0,0,0,0,0,0,0,0,0,0
