ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10
65535,41791,0.111111111,0.166666667,0.166666667,0.083333333,0,0.111111111,2.083333333,2.055555556,0.083333333,0.444444444,0.027777778,0.083333333,1.5,0.194444444,0.111111111,0.472222222,0.055555556,0.138888889,1.138888889,0,0.472222222,0.527777778,0.222222222,0.333333333,0.277777778,0.833333333,0.194444444,4.861111111,0.305555556,0.083333333,41791,513,0.623411816,0.837209302,0.75,14,25.191,8.244651004,6.446440415,-4.625514786,175.8888889,976.4444444,0.615384615,28,41435,41805,0,0,0,0,0,0,0,0
65535,41805,0.066666667,0.086666667,0.133333333,0.02,0.02,0.08,2.686666667,1.38,0.066666667,0.42,0.053333333,0.046666667,0.966666667,0.28,0.133333333,0.226666667,0.026666667,0.026666667,0.786666667,0.006666667,0.613333333,0.473333333,0.346666667,0.26,0.233333333,0.96,0.126666667,4.473333333,0.226666667,0.073333333,41805,2137,0.779058871,0.700934579,0.563909774,14,76.583,19.07107269,11.95662382,-80.19782016,184.22,981.54,0.394736842,57,41435,41477,41791,41990,0,0,0,0,0,0
65535,41819,0.129032258,0.129032258,0.129032258,0,0,0,5.290322581,1.903225806,0.096774194,0.451612903,0,0.032258065,0.548387097,0.129032258,0.258064516,0.419354839,0.064516129,0.064516129,0.935483871,0,0.548387097,0.516129032,1.419354839,0.419354839,0.741935484,0.967741935,0.129032258,4.677419355,0.129032258,0.129032258,41819,442,0.838911937,0.704545455,0.442857143,14,25.77,10.02354486,5.45548648,55.21170451,214.4516129,978.8709677,0.961538462,43,41663,41919,42261,0,0,0,0,0,0,0
65535,41834,0.034482759,0.206896552,0,0.034482759,0.034482759,0.068965517,1.620689655,1.517241379,0.034482759,0.517241379,0,0.068965517,0.896551724,0.275862069,0.206896552,0.448275862,0,0.103448276,2.103448276,0,1.172413793,0.275862069,0.413793103,0.413793103,0.103448276,0.896551724,0.137931034,3.75862069,0.172413793,0.068965517,41834,413,0.678032958,0.935483871,0.69047619,14,17.599,7.37723879,5.4225029,-37.64374108,1059.241379,977.7241379,0,0,0,0,0,0,0,0,0,0,0,0
65535,41848,0.02173913,0.260869565,0.152173913,0.043478261,0.086956522,0.065217391,1.956521739,2.043478261,0.043478261,0.608695652,0.065217391,0.043478261,1.630434783,0.369565217,0.065217391,0.347826087,0.02173913,0.065217391,0.847826087,0.02173913,0.5,0.652173913,0.760869565,0.326086957,0.217391304,0.934782609,0.108695652,7.652173913,0.086956522,0.260869565,41848,655,0.731829786,0.621621622,0.464646465,14,37.117,11.23582689,7.657075175,76.10849396,1083.847826,979.9565217,0,0,0,0,0,0,0,0,0,0,0,0
65535,41862,0.277777778,0.361111111,0.083333333,0.027777778,0.111111111,0.083333333,3.972222222,2.583333333,0.111111111,0.722222222,0.083333333,0,5.694444444,0.305555556,0.083333333,0.194444444,0.111111111,0,0.361111111,0.027777778,0.805555556,0.583333333,0.777777778,0.055555556,0.388888889,0.388888889,0.111111111,3.666666667,0.138888889,0,41862,513,0.872911823,0.679245283,0.5,14,31.559,11.41731049,5.570254681,-73.3208788,1311.722222,979.9444444,0.428571429,14,42118,0,0,0,0,0,0,0,0,0
65535,41876,0.096774194,0.080645161,0.048387097,0.048387097,0.080645161,0.048387097,1.5,2.112903226,0.032258065,0.467741935,0.048387097,0,1.322580645,0.35483871,0.048387097,0.580645161,0.096774194,0.032258065,0.548387097,0.016129032,0.35483871,0.403225806,1.177419355,0.274193548,0.258064516,0.548387097,0.161290323,3.161290323,0.241935484,0.096774194,41876,883,0.4618991,0.826666667,0.688888889,14,30.608,10.13518866,8.989227998,-44.36880368,1221.548387,979.516129,0.2,14,41933,0,0,0,0,0,0,0,0,0
65535,41891,0.088235294,0.058823529,0.088235294,0.029411765,0.235294118,0.029411765,2.705882353,2.117647059,0.058823529,0.647058824,0.058823529,0,1.323529412,0.5,0.176470588,0.588235294,0.088235294,0.029411765,0.705882353,0.029411765,0.617647059,0.323529412,0.823529412,0.323529412,0.323529412,1.029411765,0.264705882,6.117647059,0.264705882,0.205882353,41891,484,0.513522184,0.739130435,0.472222222,14,33.189,8.152025691,6.995060184,-82.58676001,70.64705882,981.6470588,0.965517241,28,41777,42061,0,0,0,0,0,0,0,0
65535,41905,0.041666667,0.083333333,0.083333333,0.041666667,0.041666667,0.041666667,3.875,1.75,0.041666667,0.833333333,0,0,6.375,0.291666667,0.083333333,0.333333333,0.041666667,0.083333333,0.625,0.041666667,0.75,0.458333333,0.291666667,0.458333333,0.416666667,0.666666667,0.083333333,3.708333333,0.083333333,0.041666667,41905,342,0.802723772,0.857142857,0.489795918,14,18.178,7.774785997,4.636501606,44.50964179,1384.791667,980.9583333,0.9,28,41762,42047,0,0,0,0,0,0,0,0
65535,41919,0.060606061,0.03030303,0.106060606,0.075757576,0.03030303,0.045454545,2.712121212,1.257575758,0.060606061,0.742424242,0.015151515,0.03030303,0.590909091,0.272727273,0.045454545,0.227272727,0.075757576,0.060606061,3.454545455,0,0.712121212,0.333333333,0.636363636,0.272727273,0.227272727,1.318181818,0.166666667,2.787878788,0.303030303,0.075757576,41919,940,0.911180657,0.70212766,0.366666667,14,49.274,16.30242685,6.716714814,23.68325765,219.969697,982.0909091,0.866666667,43,41819,42019,42261,0,0,0,0,0,0,0
65535,41933,0.070512821,0.121794872,0.134615385,0.08974359,0.083333333,0.019230769,4.365384615,2.314102564,0.121794872,0.602564103,0.044871795,0.006410256,0.891025641,0.333333333,0.096153846,0.326923077,0.076923077,0.076923077,0.692307692,0.025641026,0.519230769,0.557692308,3.141025641,0.346153846,0.262820513,1.141025641,0.173076923,5.512820513,0.275641026,0.141025641,41933,2222,0.659327742,0.586466165,0.354545455,14,85.639,19.2429649,14.46793201,70.53077717,1210.192308,974.3397436,0.322580645,43,41392,41876,41948,0,0,0,0,0,0,0
65535,41962,0.051282051,0.051282051,0.128205128,0,0.076923077,0.025641026,3.179487179,1.384615385,0.051282051,0.384615385,0.025641026,0,1.025641026,0.307692308,0.102564103,0.384615385,0.051282051,0.025641026,0.692307692,0,0.615384615,0.512820513,0.435897436,0.230769231,0.564102564,0.897435897,0.051282051,5.358974359,0.307692308,0.128205128,41962,556,0.596436455,0.951219512,0.619047619,14,20.626,8.118202916,6.516159175,14.63966572,155.4871795,984.0512821,0.592592593,28,42076,42247,0,0,0,0,0,0,0,0
65535,41990,0.058823529,0.105882353,0.164705882,0.047058824,0.058823529,0.011764706,2.552941176,1.482352941,0.152941176,0.494117647,0.070588235,0.047058824,0.717647059,0.258823529,0.082352941,0.294117647,0.023529412,0.094117647,0.988235294,0.035294118,0.658823529,0.541176471,0.4,0.258823529,0.352941176,1.305882353,0.164705882,6.188235294,0.247058824,0.094117647,41990,1211,0.706896491,0.801886792,0.482954545,14,41.219,13.47843209,9.533524276,-19.63005048,200.2,981.7882353,0.913043478,57,41663,41805,42133,42261,0,0,0,0,0,0
65535,42019,0.107526882,0.075268817,0.107526882,0.043010753,0.107526882,0.043010753,4.494623656,2.075268817,0.086021505,0.462365591,0.043010753,0.053763441,0.698924731,0.376344086,0.096774194,0.376344086,0.075268817,0.086021505,3.225806452,0.021505376,0.720430108,0.451612903,0.47311828,0.440860215,0.52688172,1.129032258,0.161290323,5.139784946,0.311827957,0.086021505,42019,1325,0.866584998,0.683823529,0.455882353,14,59.017,17.232456,8.59950388,20.6492546,225.7956989,986.6451613,0.644067797,43,41919,42261,42304,0,0,0,0,0,0,0
65535,42047,0.072727273,0.127272727,0.090909091,0,0.018181818,0.036363636,2.527272727,2.636363636,0.054545455,1.436363636,0,0.054545455,4.909090909,0.290909091,0.054545455,0.236363636,0.072727273,0.054545455,0.890909091,0.018181818,0.781818182,0.890909091,0.309090909,0.472727273,0.290909091,0.672727273,0.181818182,4.309090909,0.254545455,0.127272727,42047,783,0.782288708,0.670731707,0.423076923,14,39.077,12.56090061,7.824386304,34.08530732,1374.836364,984.3272727,0.425,28,41905,42460,0,0,0,0,0,0,0,0
65535,42061,0.102564103,0.102564103,0.153846154,0.051282051,0.08974359,0.012820513,2.679487179,2.141025641,0.025641026,0.5,0.038461538,0.012820513,0.820512821,0.358974359,0.102564103,0.512820513,0.102564103,0.064102564,0.871794872,0.012820513,0.474358974,0.576923077,1.192307692,0.448717949,0.256410256,1.294871795,0.141025641,8.666666667,0.346153846,0.294871795,42061,1111,0.630825163,0.553191489,0.348214286,14,63.143,15.12998251,11.73973176,-78.3961437,76.73076923,987.5,0.306451613,28,41891,42702,0,0,0,0,0,0,0,0
65535,42076,0.066666667,0.1,0.133333333,0.033333333,0.166666667,0,2.3,2.266666667,0.066666667,0.766666667,0,0.066666667,0.933333333,0.3,0.1,0.3,0.2,0.066666667,0.766666667,0,0.5,0.466666667,0.8,0.266666667,0.133333333,0.9,0.1,4.933333333,0.1,0.133333333,42076,427,0.724414428,0.75,0.416666667,14,25.671,8.446380544,5.822636873,-39.41439898,163.6333333,987.7666667,0.576923077,28,41962,42403,0,0,0,0,0,0,0,0
65535,42090,0.069565217,0.182608696,0.260869565,0.060869565,0.052173913,0.052173913,1.965217391,1.739130435,0.07826087,0.826086957,0.034782609,0,1.069565217,0.304347826,0.139130435,0.382608696,0.07826087,0.043478261,0.756521739,0.043478261,0.817391304,0.504347826,1.382608696,0.339130435,0.208695652,1.07826087,0.086956522,5.504347826,0.260869565,0.139130435,42090,1638,0.862871134,0.424354244,0.260180995,14,110.276,25.38058143,12.82795464,-1.121679135,1186.278261,985.5478261,0.053191489,28,41591,41948,0,0,0,0,0,0,0,0
65535,42104,0.020833333,0.041666667,0.104166667,0.020833333,0.020833333,0.0625,2.208333333,1.291666667,0.0625,0.75,0.041666667,0,1.479166667,0.3125,0.1875,0.104166667,0.0625,0.083333333,0.520833333,0,0.729166667,0.333333333,0.354166667,0.25,0.291666667,0.9375,0.166666667,2.3125,0.166666667,0.020833333,42104,684,0.748917335,0.842105263,0.666666667,14,28.003,10.00184106,6.627854339,38.81443629,1302.520833,987.2083333,0.266666667,14,42560,0,0,0,0,0,0,0,0,0
65535,42118,0.053763441,0.172043011,0.193548387,0.053763441,0.096774194,0.043010753,3.279569892,2.268817204,0.010752688,1.483870968,0.096774194,0.043010753,4.827956989,0.462365591,0.182795699,0.483870968,0.064516129,0.064516129,0.559139785,0,1.064516129,0.924731183,0.333333333,0.559139785,0.23655914,0.892473118,0.23655914,4.11827957,0.333333333,0.075268817,42118,1325,0.866654192,0.513812155,0.344444444,14,87.252,21.00882003,10.48149617,49.9896173,1320.247312,985.516129,0.310810811,28,41862,42218,0,0,0,0,0,0,0,0
65535,42133,0.023809524,0.19047619,0.119047619,0.071428571,0.023809524,0.023809524,3.761904762,1.714285714,0.023809524,0.761904762,0.142857143,0,1.047619048,0.30952381,0.142857143,0.214285714,0.023809524,0,0.928571429,0.047619048,0.571428571,0.476190476,0.5,0.476190476,0.523809524,1.238095238,0.19047619,5.357142857,0.261904762,0.142857143,42133,598,0.699291151,0.807692308,0.466666667,14,26.597,9.317702239,6.660637991,55.73363373,196.4285714,987.2142857,0.962962963,43,41990,42261,42361,0,0,0,0,0,0,0
65535,42147,0.049019608,0.078431373,0.18627451,0.068627451,0.088235294,0.068627451,1.343137255,1.656862745,0.039215686,0.666666667,0.088235294,0.029411765,0.754901961,0.333333333,0.098039216,0.352941176,0.078431373,0.039215686,1.284313725,0.029411765,0.62745098,0.607843137,1.578431373,0.343137255,0.156862745,1.254901961,0.225490196,7.480392157,0.284313725,0.166666667,42147,1453,0.642053359,0.857142857,0.713286713,14,42.741,13.38560935,10.26221064,12.25584165,378.0686275,986.3823529,0,0,0,0,0,0,0,0,0,0,0,0
65535,42161,0.029411765,0.176470588,0,0.029411765,0.029411765,0.088235294,1.529411765,2.588235294,0.058823529,1.676470588,0.088235294,0,2.382352941,0.205882353,0.058823529,0.323529412,0,0.058823529,0.470588235,0,1.588235294,1.205882353,0.323529412,0.411764706,0.176470588,0.941176471,0.205882353,4.088235294,0.205882353,0.117647059,42161,484,0.562572026,0.790697674,0.607142857,14,25.671,7.907022326,6.537117094,15.39939896,1341.705882,988.8235294,0.961538462,57,41976,42218,42232,42375,0,0,0,0,0,0
65535,42175,0.14893617,0.106382979,0.212765957,0.042553191,0.021276596,0.042553191,1.574468085,1.85106383,0.042553191,0.446808511,0.021276596,0.021276596,0.638297872,0.234042553,0.14893617,0.382978723,0.063829787,0.063829787,0.659574468,0.021276596,0.489361702,0.489361702,3.70212766,0.127659574,0.106382979,1.042553191,0.063829787,6.468085106,0.106382979,0.085106383,42175,669,0.828068553,0.839285714,0.580246914,14,28.483,10.83290153,6.073215526,-37.9831291,592.1914894,987.1489362,0,0,0,0,0,0,0,0,0,0,0,0
