ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_191Ir_191Ir,Cell_193Ir_193Ir,Cell_CellMasked,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10,neighbour_4_CellId11,Selection,Sel01
65535,7176,3.529411765,0.205882353,0.264705882,0.058823529,0.058823529,0.264705882,1.529411765,1.735294118,0.029411765,0.588235294,0.029411765,0.058823529,5.764705882,0.529411765,0.029411765,0.617647059,0.117647059,0.058823529,0.441176471,0,0.382352941,0.264705882,1.5,0.147058824,0.705882353,0.529411765,0.147058824,18.11764706,0.088235294,0.147058824,10.32352941,21.47058824,7176,701,0.586319459,0.971428571,0.693877551,21,17.996,7.470216447,6.051472413,54.14557705,1044.029412,143.3529412,0.166666667,21,7754,0,0,0,0,0,0,0,0,0,0,0,1
65535,7197,3.30952381,0.119047619,0.30952381,0.071428571,0.071428571,0.095238095,1.047619048,1.476190476,0.357142857,0.214285714,0.071428571,0.095238095,7.357142857,0.595238095,0.166666667,0.214285714,0.047619048,0.023809524,0.428571429,0,0.285714286,0.238095238,NaN,0.142857143,0.642857143,0.357142857,0.071428571,11.85714286,0,0.142857143,10.5,21.42857143,7197,866,0.453058131,0.954545455,0.75,21,21.362,7.932539593,7.071708136,59.56052038,1154.190476,144.9761905,0.37037037,21,6929,0,0,0,0,0,0,0,0,0,0,0,0
65535,7218,2.469026549,0.185840708,0.212389381,0.053097345,0.088495575,0.14159292,0.867256637,1.398230088,0.053097345,0.230088496,NaN,0.053097345,4.053097345,0.380530973,0.168141593,0.274336283,0.079646018,0.097345133,0.513274336,0.008849558,0.389380531,0.185840708,4.672566372,0.150442478,0.548672566,0.380530973,0.061946903,12.30973451,0.097345133,0.203539823,44.24778761,81.53097345,7218,2330,0.501896217,0.99122807,0.724358974,21,35.124,12.97785454,11.22490784,-55.58897853,27.53097345,145.3716814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,7238,2.504672897,0.14953271,0.196261682,0.028037383,0.028037383,0.093457944,0.869158879,1.654205607,0.056074766,0.205607477,0.065420561,0.028037383,4.345794393,0.551401869,0.102803738,0.308411215,0.056074766,0.065420561,0.411214953,0.028037383,0.242990654,0.102803738,2.299065421,0.177570093,0.61682243,0.327102804,0.08411215,10.43925234,0.056074766,0.093457944,39.57943925,73.64485981,7238,2206,0.440692086,0.963963964,0.743055556,21,33.908,12.38164582,11.11448757,49.60515453,616.3084112,146.5233645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,7259,2.641975309,0.024691358,0.135802469,0.086419753,0.037037037,0.160493827,0.716049383,1.049382716,0.037037037,0.209876543,0.024691358,0.086419753,4.567901235,0.296296296,0.061728395,0.234567901,0.049382716,0.024691358,0.24691358,0.012345679,0.283950617,0.148148148,2.666666667,0.074074074,0.395061728,0.382716049,0.086419753,9.160493827,0.086419753,0.148148148,39.08641975,70.81481481,7259,1670,0.537705003,21,0.818181818,21,29.012,11.11678867,9.372931871,0,277.2962963,3031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,7279,1.802325581,0.174418605,0.139534884,0.046511628,0.011627907,0.127906977,1.162790698,1.872093023,0.081395349,0.220930233,0.034883721,0.058139535,6.220930233,0.674418605,0.058139535,0.5,0.081395349,0.023255814,0.209302326,0,0.197674419,0.197674419,3.360465116,0.093023256,1.139534884,0.546511628,0.174418605,16.74418605,0.127906977,0.139534884,37.40697674,1382,7279,1773,0.829227102,0.988505747,0.551282051,21,34.016,14.37312991,8.03331208,41.51996162,682.2906977,146.5581395,0.522727273,21,7444,0,0,0,0,0,0,0,0,0,0,0,1
65535,7300,2.84375,0.15625,0.21875,0.09375,0.03125,0.21875,0.78125,1.6875,0.15625,0.125,0,0.09375,3.5,0.5,0.09375,0.28125,0.0625,0.03125,0.125,0,0.375,0.15625,0.71875,0.21875,0.25,0.25,0.125,10.90625,0.28125,0,12.09375,24.0625,7300,660,0.527178829,21,0.761904762,21,16.954,7.005970289,5.953353842,20.29352895,513.84375,147.625,0.545454545,21,7733,0,0,0,0,0,0,0,0,0,0,0,1
65535,7321,3.129032258,0.322580645,0.322580645,0.096774194,0,0.129032258,0.903225806,1.225806452,0.096774194,0.193548387,0,0.032258065,7.225806452,0.193548387,0.161290323,0.096774194,0.193548387,0.064516129,0.193548387,0,0.451612903,0.032258065,NaN,0.161290323,0.677419355,0.516129032,0.064516129,8.967741935,0.032258065,0.064516129,11.80645161,22.29032258,7321,639,0.496833709,21,0.738095238,21,17.136,6.863349551,5.956328818,62.07257377,1166.645161,147.516129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65535,7341,2.864864865,0.243243243,0.243243243,0.108108108,0.081081081,0.081081081,0.783783784,2.027027027,0.054054054,0.216216216,0.054054054,0,9.702702703,0.621621622,0.108108108,0.594594595,0,0.027027027,0.27027027,0.027027027,0.378378378,0.216216216,1.189189189,0.189189189,0.756756757,0.432432432,0.108108108,19.7027027,0.108108108,0.081081081,11.56756757,21.43243243,7341,763,0.328088022,0.973684211,0.660714286,21,20.229,7.411553025,7.001302487,74.53754403,694.5135135,149.027027,0.88,41,7444,7774,0,0,0,0,0,0,0,0,0,0,1
65535,7362,2.122807018,0.192982456,0.228070175,0.035087719,0.052631579,0.140350877,0.754385965,1.070175439,0.070175439,0.122807018,0.035087719,0.087719298,7.245614035,0.333333333,0.192982456,0.298245614,0.052631579,0.070175439,0.298245614,0,0.298245614,0.087719298,1.473684211,0.035087719,0.578947368,0.596491228,0.087719298,11.96491228,0.105263158,0.122807018,10.80701754,21.1754386,7362,1175,0.781566847,0.95,0.633333333,21,25.588,11.0791918,6.911438037,-37.39224333,1124.438596,148.9649123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65535,7382,2.557575758,0.193939394,0.248484848,0.048484848,0.036363636,0.066666667,NaN,1.042424242,0.042424242,0.175757576,0.024242424,0.036363636,8.36969697,0.327272727,0.127272727,0.254545455,0.042424242,0.054545455,0.448484848,0.006060606,0.357575758,0.127272727,3.084848485,0.096969697,0.684848485,0.327272727,0.066666667,8.072727273,0.036363636,0.109090909,38.38181818,67.74545455,7382,3403,0.744613818,0.93220339,0.668016194,21,47.653,18.18120859,12.13587519,89.00768935,1332.090909,151.1818182,0.224137931,21,6846,0,0,0,0,0,0,0,0,0,0,0,0
65535,7403,1.46875,0.4375,0.34375,0.1875,0.03125,0.03125,0.65625,0.9375,0.0625,0.1875,0.09375,0.03125,6.625,0.1875,0.15625,0.21875,0.03125,0.03125,0.21875,0,0.25,0,0.9375,0.09375,0.40625,0.3125,0.15625,11.84375,0.0625,0.25,10.53125,20.25,7403,660,0.690166303,21,0.653061224,21,17.806,7.647218171,5.533915514,40.41677947,1375.1875,148.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
