ImageId,CellId,Cell_141Pr_AQP4,Cell_143Nd_SQSTM1,Cell_145Nd_UBQLN2,Cell_147Sm_Glutaminase,Cell_149Sm_C9orf72,Cell_150Nd_PDL1,Cell_151Eu_MAP2,Cell_152Sm_ATXN2,Cell_153Eu_ORF1,Cell_154Sm_pTDP43,Cell_155Gd_FoxP3,Cell_156Gd_CH24H,Cell_158Gd_GFAP,Cell_159Tb_IL6ST,Cell_160Gd_IBA1,Cell_161Dy_CX3CR1,Cell_162Dy_pTBK1,Cell_163Dy_CD4,Cell_164Dy_TMEM119,Cell_165Ho_PD1,Cell_166Er_GAD67,Cell_167Er_CD8,Cell_168Er_FUS,Cell_169Tm_ChAT,Cell_170Er_APOE,Cell_171Yb_TREM2,Cell_172Yb_PDL2,Cell_174Yb_MHCclassII,Cell_175Lu_TDP43,Cell_176Yb_TBK1,Cell_6_Control_M_FrontalCrtx_240424_1_cellmas,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7,neighbour_4_CellId8,neighbour_4_CellId9,neighbour_4_CellId10
18963,750,0.098360656,0.098360656,0.245901639,0.032786885,0.049180328,0.016393443,0.819672131,1.262295082,0.016393443,0.409836066,0,0,0.590163934,0.459016393,0.06557377,0.245901639,0.016393443,0.081967213,0.639344262,0.016393443,0.721311475,0.590163934,1.344262295,0.327868852,0.885245902,0.540983607,0.081967213,14.70491803,0.081967213,0.081967213,54734,61,0.768862131,0.897058824,0.693181818,1,28.284,11.33089173,7.245137531,15.61214566,528.6721311,691,1,3,744,745,761,0,0,0,0,0,0,0
18963,751,0.102272727,0.079545455,0.181818182,0.034090909,0.056818182,0.068181818,0.409090909,0.897727273,0.090909091,0.25,0.011363636,0.022727273,0.261363636,0.238636364,0.079545455,0.193181818,0.056818182,0,0.375,0.011363636,0.295454545,0.295454545,0.363636364,0.159090909,0.329545455,0.681818182,0.068181818,15.80681818,0.034090909,0.056818182,54807,88,0.516972925,0.907216495,0.666666667,1,31.865,11.70751176,10.02165055,-30.18628039,637.4318182,690.5113636,0.404761905,2,762,771,0,0,0,0,0,0,0,0
18963,752,0.053097345,0.044247788,0.194690265,0.07079646,0.008849558,0.079646018,0.371681416,1.008849558,0.07079646,0.265486726,0.03539823,0.044247788,0.442477876,0.353982301,0.03539823,0.371681416,0.053097345,0.053097345,0.530973451,0,0.309734513,0.442477876,1.433628319,0.274336283,0.221238938,0.761061947,0.061946903,21.19469027,0.03539823,0.185840708,54880,113,0.780433512,0.918699187,0.579487179,1,38.986,15.51533957,9.700792007,45.71301317,470.539823,690.3539823,0.44,2,743,748,0,0,0,0,0,0,0,0
18963,753,0.164556962,0.151898734,0.120253165,0.050632911,0.018987342,0.075949367,1.253164557,1.962025316,0.018987342,0.487341772,0.025316456,0.050632911,1.303797468,0.234177215,0.03164557,0.132911392,0.151898734,0.037974684,0.398734177,0,0.512658228,0.32278481,0.544303797,0.329113924,0.569620253,0.556962025,0.132911392,12.9556962,0.082278481,0.189873418,54953,158,0.557191515,0.957575758,0.705357143,1,44.204,15.89857985,13.20192659,41.05509648,35.29113924,691.9303797,0.392857143,2,759,773,0,0,0,0,0,0,0,0
18963,754,0.152380952,0.095238095,0.266666667,0.047619048,0.057142857,0.076190476,0.647619048,0.819047619,0.066666667,0.228571429,0.028571429,0,0.285714286,0.114285714,0.00952381,0.133333333,0.019047619,0.028571429,0.59047619,0.00952381,0.514285714,0.314285714,0.342857143,0.20952381,0.542857143,0.495238095,0.095238095,13.07619048,0.019047619,0.028571429,55026,105,0.684243656,0.963302752,0.681818182,1,34.404,13.65165288,9.955515197,19.99551579,283.3333333,691.8857143,0.369565217,2,739,746,0,0,0,0,0,0,0,0
18963,755,0.110169492,0.118644068,0.211864407,0.06779661,0.008474576,0.025423729,1.466101695,1.36440678,0.042372881,0.279661017,0.050847458,0.025423729,1.355932203,0.957627119,0.169491525,0.245762712,0.025423729,0.050847458,0.584745763,0.042372881,0.584745763,0.56779661,1.847457627,0.254237288,0.669491525,0.703389831,0.06779661,13.49152542,0.118644068,0.084745763,55099,118,0.832458847,0.936507937,0.614583333,1,38.994,16.64813044,9.224510614,27.24835551,101.4576271,694.5847458,0,0,0,0,0,0,0,0,0,0,0,0
18963,756,0.118181818,0.1,0.209090909,0.018181818,0.018181818,0.081818182,2.054545455,2.554545455,0.054545455,0.436363636,0.036363636,0.045454545,1.136363636,1.418181818,0.754545455,0.236363636,0.072727273,0.154545455,0.718181818,0.009090909,0.845454545,0.581818182,2.181818182,0.290909091,0.827272727,0.818181818,0.127272727,18.56363636,0.172727273,0.1,55172,110,0.391905373,0.956521739,0.650887574,1,35.628,12.4427582,11.44740638,9.273392813,709.1909091,693,0.260869565,2,740,788,0,0,0,0,0,0,0,0
18963,757,0.23853211,0.165137615,0.229357798,0.064220183,0.027522936,0.04587156,1.137614679,1.917431193,0.027522936,0.431192661,0.073394495,0.018348624,2.055045872,0.339449541,0.064220183,0.19266055,0.04587156,0.091743119,0.577981651,0.027522936,0.80733945,0.467889908,0.660550459,0.256880734,1.082568807,0.752293578,0.19266055,17.02752294,0.073394495,0.183486239,55245,109,0.643657531,0.96460177,0.778571429,1,35.115,13.58902161,10.39986373,-4.044654726,65.18348624,693.8165138,0.431818182,1,769,0,0,0,0,0,0,0,0,0
18963,758,0.133333333,0.109090909,0.163636364,0.024242424,0.018181818,0.054545455,0.442424242,0.963636364,0.042424242,0.393939394,0.012121212,0.03030303,0.581818182,0.254545455,0.054545455,0.236363636,0.054545455,0.060606061,0.478787879,0.006060606,0.612121212,0.206060606,0.315151515,0.175757576,0.466666667,0.472727273,0.084848485,12.92727273,0.042424242,0.115151515,55318,165,0.694442006,0.959302326,0.693277311,1,44.047,17.17152964,12.35575145,26.71248456,432.4424242,694.5454545,0.228070175,1,749,0,0,0,0,0,0,0,0,0
18963,759,0.225225225,0.135135135,0.162162162,0.054054054,0.009009009,0.054054054,1.054054054,1.216216216,0.054054054,0.423423423,0.018018018,0.009009009,2.855855856,0.216216216,0.018018018,0.117117117,0.027027027,0.063063063,0.477477477,0.009009009,0.513513514,0.333333333,0.504504505,0.225225225,0.567567568,0.504504505,0.108108108,16.40540541,0.108108108,0.189189189,55391,111,0.612347978,0.932773109,0.711538462,1,35.785,13.62797715,10.7741201,60.2128919,45.35135135,694.3153153,0.456521739,1,753,0,0,0,0,0,0,0,0,0
18963,760,0.058394161,0.087591241,0.445255474,0.051094891,0.00729927,0.03649635,0.343065693,0.883211679,0.04379562,0.189781022,0.094890511,0.03649635,0.291970803,0.233576642,0.094890511,0.255474453,0.051094891,0.01459854,0.518248175,0.01459854,0.328467153,0.335766423,2.810218978,0.153284672,0.255474453,0.598540146,0.072992701,16.71532847,0.116788321,0.160583942,55464,137,0.562234127,0.958041958,0.702564103,1,39.366,14.6202493,12.09062606,-21.99496444,250.1970803,695.7810219,0,0,0,0,0,0,0,0,0,0,0,0
18963,761,0.152671756,0.129770992,0.229007634,0.015267176,0.030534351,0.045801527,0.885496183,1.358778626,0.045801527,0.419847328,0.030534351,0.038167939,0.572519084,0.641221374,0.022900763,0.335877863,0.015267176,0.061068702,0.435114504,0,0.801526718,0.618320611,1.427480916,0.297709924,0.893129771,0.885496183,0.259541985,14.77099237,0.083969466,0.190839695,55537,131,0.702342986,0.885135135,0.629807692,1,42.798,15.86110765,11.2905502,20.04244744,534.0610687,696.6412214,0.888888889,3,745,750,776,0,0,0,0,0,0,0
18963,762,0.095890411,0.095890411,0.219178082,0.054794521,0.02739726,0.054794521,0.397260274,1.287671233,0.068493151,0.356164384,0.04109589,0.01369863,0.342465753,0.164383562,0.01369863,0.246575342,0.068493151,0.04109589,0.589041096,0,0.479452055,0.438356164,3.191780822,0.191780822,0.273972603,0.739726027,0.136986301,16.01369863,0.068493151,0.054794521,55610,73,0.672085577,0.924050633,0.608333333,1,31.005,11.56401346,8.562845308,20.74085038,629.3972603,694.630137,0.783783784,2,751,771,0,0,0,0,0,0,0,0
18963,763,0.12,0.146666667,0.306666667,0.026666667,0.026666667,0.013333333,0.6,1,0.053333333,0.266666667,0.013333333,0.013333333,0.373333333,0.2,0.813333333,0.146666667,0.026666667,0.013333333,0.76,0,0.52,0.333333333,0.68,0.173333333,0.546666667,0.813333333,0.146666667,13.92,0.16,0.173333333,55683,75,0.455128501,0.974025974,0.75,1,28.011,10.45174454,9.306502653,48.66881612,171.8,697.2933333,0.5,1,766,0,0,0,0,0,0,0,0,0
18963,764,0.084848485,0.103030303,0.254545455,0.051515152,0.018181818,0.060606061,0.424242424,1.175757576,0.078787879,0.278787879,0.033333333,0.021212121,0.260606061,0.333333333,0.048484848,0.309090909,0.066666667,0.054545455,0.539393939,0.006060606,0.512121212,0.457575758,0.6,0.257575758,0.296969697,0.851515152,0.103030303,18.97575758,0.1,0.175757576,55756,330,0.517795314,0.953757225,0.717391304,1,62.87,22.25610379,19.04019778,-7.424244533,607.7666667,695.5969697,0,0,0,0,0,0,0,0,0,0,0,0
